,metro_geocode,metro_geoname,metro_lon,metro_lat,metro_code,metro_total,metro_white,metro_hispanic,metro_black,metro_asian,metro_amind,metro_twoplus,City,State,County,Zip,Country,Source,police_per_1k,offenses_per_1k,median_income
54,46140,"Tulsa, OK",-96.16629,36.25036,6,100,64.67468000000001,10.183069999999999,8.166960000000001,2.6535599999999997,8.16615,6.1555800000000005,Tulsa,OK,Tulsa County,74101.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.448238484,130.4660583,61290
55,46520,"Urban Honolulu, HI",-157.97468999999998,21.4588,6,100,18.00404,10.00041,2.55367,50.68647,0.18111,18.5743,Honolulu,HI,Honolulu County,96801.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.478567115,64.08429979,80998
56,49340,"Worcester, MA-CT",-71.92734,42.22282,7,100,76.84461999999999,11.95992,4.37646,4.85174,0.20077,1.7664900000000001,Worcester,MA,Worcester County,1601.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.658603132,56.44295014,72729
57,14860,"Bridgeport-Stamford-Norwalk, CT",-73.38906,41.26981,1,100,61.51365,20.17709,10.97441,5.71633,0.12470999999999999,1.4938200000000001,Bridgeport,CT,Fairfield County,6601.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.030942862,51.5737064,101381
58,36540,"Omaha-Council Bluffs, NE-IA",-95.99906999999999,41.29025,7,100,75.79723,10.69913,7.63152,3.16398,0.44417,2.26396,Omaha,NE,Douglas County,68101.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.164691244,80.7157117,73201
59,10740,"Albuquerque, NM",-106.47157,35.12232,6,100,38.90736,49.386359999999996,2.2764900000000003,2.24614,5.4477,1.73595,Albuquerque,NM,Bernalillo County,87101.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,0.0,151.0741028,61956
60,24860,"Greenville-Anderson-Mauldin, SC",-82.41344000000001,34.685140000000004,2,100,72.60259,7.00984,16.47206,2.0327,0.21288,1.66993,Greenville,NC,Pitt County,27833.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.488335925,62.85193329,56709
61,12540,"Bakersfield, CA",-118.72976000000001,35.34281,1,100,33.50224,53.95466,5.20605,4.82635,0.62157,1.88913,Bakersfield,CA,Kern County,93301.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.3926023509999998,94.03048165,55584
62,28940,"Knoxville, TN",-84.1374,36.04461,7,100,86.57593,3.9739199999999997,5.7260800000000005,1.64755,0.27816,1.79835,Knoxville,TN,Knox County,37901.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.660970141,109.6033458,59712
63,10580,"Albany-Schenectady-Troy, NY",-73.94196,42.78845,7,100,79.54559,5.3541300000000005,8.10321,4.52122,0.22,2.25585,Albany,NY,Albany County,12201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,4.10894815,80.96865401,77340
64,32580,"McAllen-Edinburg-Mission, TX",-98.18139000000001,26.396690000000003,1,100,6.0469599999999994,92.37544,0.41366,0.94314,0.06097,0.15983,McAllen,TX,Hidalgo County,78501.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.9578216019999997,55.15956305,35102
65,35300,"New Haven-Milford, CT",-72.93139000000001,41.410540000000005,6,100,62.33915,18.63343,12.82783,4.23649,0.17887,1.78424,New Haven,CT,New Haven County,6501.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.506605377,94.90703684,77193
66,37100,"Oxnard-Thousand Oaks-Ventura, CA",-119.08493,34.45473,6,100,44.9632,43.021409999999996,1.7663400000000002,7.57327,0.29202,2.3837599999999997,Oxnard,CA,Ventura County,93030.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.686053925,55.50754001,86445
67,21340,"El Paso, TX",-105.54166000000001,31.513340000000003,1,100,11.670589999999999,82.92195,3.04948,1.26509,0.28064,0.81225,El Paso,TX,El Paso County,79901.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.94787651,37.56888743,44856
68,10900,"Allentown-Bethlehem-Easton, PA-NJ",-75.40371999999999,40.78934,7,100,72.2918,17.70776,5.24835,3.07173,0.12955,1.55081,Allentown,PA,Lehigh County,18101.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.9056537130000002,53.18580945,68491
69,17900,"Columbia, SC",-81.04303,34.091879999999996,2,100,56.19011999999999,5.67707,33.580690000000004,2.37754,0.30216,1.87242,Columbia,SC,Howard County,21044.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.3997304180000003,116.1225101,62253
70,12940,"Baton Rouge, LA",-91.13268000000001,30.57116,2,100,56.44477,4.1123,35.80084,2.15082,0.25899,1.23227,Baton Rouge,LA,East Baton Rouge Parish,70801.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.5366341919999997,125.5260465,63944
71,35840,"North Port-Sarasota-Bradenton, FL",-82.32249,27.34777,7,100,77.1985,12.89283,6.34052,1.97426,0.19049000000000002,1.40341,North Port,FL,Tuscaloosa County,35473.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.068496794,38.50359032,67975
72,19380,"Dayton, OH",-84.14203,39.8295,2,100,76.15405,2.8801799999999997,15.70595,2.46247,0.22764,2.5697200000000002,Dayton,OH,Montgomery County,45401.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.026539324,109.0125202,63557
73,16700,"Charleston-North Charleston, SC",-80.04338,33.0421,2,100,64.36876,5.69471,25.45138,2.09575,0.37746,2.01195,Charleston,SC,Charleston County,29401.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.749307035,47.66142444,69677
74,24660,"Greensboro-High Point, NC",-79.79155,36.02574,2,100,57.90356,8.588,27.099520000000002,4.04671,0.43545,1.92677,Greensboro,NC,Guilford County,27401.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.662820749,73.36565541,56093
75,15980,"Cape Coral-Fort Myers, FL",-81.84071,26.57793,1,100,66.81849,21.89648,8.08365,1.7124099999999998,0.21495,1.27404,Cape Coral,FL,Lee County,33904.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.6554088219999998,31.6071305,64089
76,44700,"Stockton-Lodi, CA",-121.27113,37.93459,6,100,31.04177,41.92743,7.10653,16.09,0.43791,3.39635,Stockton,CA,San Joaquin County,95201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.142688355,103.9634945,61064
77,30780,"Little Rock-North Little Rock-Conway, AR",-92.39721999999999,34.75725,2,100,66.79548,5.4078800000000005,23.74093,1.77816,0.40413000000000004,1.87342,Little Rock,AR,Pulaski County,72201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.51752238,160.1651881,61437
78,17820,"Colorado Springs, CO",-104.65833,38.84265,7,100,69.51697,17.09437,5.89061,3.14505,0.63672,3.7162699999999997,Colorado Springs,CO,,,US,US Census Bureau,2.111970522,78.24691589,72846
79,14260,"Boise City, ID",-116.14315,43.016020000000005,7,100,79.95499000000001,13.84781,0.99011,2.2862,0.59445,2.32645,Boise,ID,Ada County,83701.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.640023554,46.07768303,64468
80,29460,"Lakeland-Winter Haven, FL",-81.69736,27.94868,6,100,57.948840000000004,23.61962,14.631879999999999,1.90195,0.27316,1.62456,Lakeland,FL,Shelby County,38002.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.202087287,68.93154284,52649
81,10420,"Akron, OH",-81.34942,41.14883,7,100,79.54898,2.16899,12.38074,3.46927,0.1728,2.25922,Akron,OH,Summit County,44301.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.4027517830000003,90.08042895,64126
82,36260,"Ogden-Clearfield, UT",-112.81593000000001,41.43261,7,100,81.01625,13.11099,1.1704,2.1449700000000003,0.48262,2.07476,Ogden,UT,Weber County,84201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.985938641,83.0898466,69472
83,49180,"Winston-Salem, NC",-80.34551,36.076229999999995,2,100,67.91957,10.45385,17.76006,1.90675,0.3132,1.64657,Winston-Salem,NC,Daviess County,64689.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.780040444,0,57049
84,31540,"Madison, WI",-89.59212,43.0801,7,100,81.86962,5.81295,4.49182,5.38474,0.30163,2.13924,Madison,WI,Dane County,53701.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.302141572,60.14973593,80472
85,19660,"Deltona-Daytona Beach-Ormond Beach, FL",-81.21979,29.17403,7,100,71.79706,13.851020000000002,10.29768,2.05138,0.28123000000000004,1.72164,Daytona Beach,FL,,,,,4.230044908,119.5277416,56253
86,19780,"Des Moines-West Des Moines, IA",-93.9404,41.5478,7,100,80.28956,7.52111,5.51106,4.56036,0.17820999999999998,1.9397,Des Moines,IA,Polk County,50301.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.329032643,0,75304
87,45060,"Syracuse, NY",-76.03362,43.154509999999995,7,100,81.5398,4.34126,8.10021,2.9618700000000002,0.66718,2.3896900000000003,Syracuse,NY,Onondaga County,13201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.409511699,76.06424973,66311
88,48620,"Wichita, KS",-97.3982,37.62506,7,100,71.8089,13.266020000000001,7.30065,3.7995699999999997,0.80634,3.01851,Wichita,KS,Sedgwick County,67201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.103511128,136.3325386,63726
89,39340,"Provo-Orem, UT",-112.35233000000001,39.86453,7,100,82.22962,11.86365,0.5846,2.55756,0.4549,2.3096799999999997,Provo,UT,Butler County,42267.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.076398895,38.96224976,58522
90,44140,"Springfield, MA",-72.64598000000001,42.23017,1,100,67.25091,20.944000000000003,6.50024,3.39891,0.15037,1.75557,Springfield,MA,Hampden County,1101.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.5571823510000002,72.60002964,64488
91,12260,"Augusta-Richmond County, GA-SC",-81.98323,33.46099,2,100,54.41011999999999,5.6016,35.29057,2.1391400000000003,0.32988,2.2286900000000003,Augusta,ME,Kennebec County,4330.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.185229175,73.20628408,62659
92,45780,"Toledo, OH",-83.78175999999999,41.49878,2,100,74.06974,7.04512,14.59981,1.672,0.20767,2.4056599999999997,Toledo,OH,Lucas County,43601.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.494336837,91.30145479,59234
93,37340,"Palm Bay-Melbourne-Titusville, FL",-80.73227,28.29348,7,100,74.07016,10.71645,9.96198,2.62127,0.31532,2.31482,Palm Bay,FL,Brevard County,32905.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.851162955,44.57848399,62318
94,27140,"Jackson, MS",-90.22039000000001,32.31733,2,100,46.09319,2.61253,48.99425,1.2374,0.13393,0.9287,Jackson,MS,Hinds County,39201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,0.0,102.009348,59823
95,20500,"Durham-Chapel Hill, NC",-79.09953,35.99098,2,100,54.69455,11.60542,26.048470000000002,5.32766,0.30813,2.0157700000000003,Durham,NC,Durham County,27701.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.341475531,78.26592002,75727
96,25420,"Harrisburg-Carlisle, PA",-77.1013,40.32659,7,100,76.32561,6.6288,10.20118,4.41584,0.16201,2.2665599999999997,Harrisburg,PA,Dauphin County,17101.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.4183164789999996,73.00547338,70981
97,44060,"Spokane-Spokane Valley, WA",-117.57181000000001,48.19372,7,100,84.54994,5.70173,1.73237,2.7248799999999997,1.76846,3.52262,Spokane,WA,Spokane County,99201.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,1.8788206509999998,157.6697125,63801
98,16860,"Chattanooga, TN-GA",-85.35885,35.05192,2,100,78.12883000000001,4.72081,13.541720000000002,1.70544,0.27176,1.63144,Chattanooga,TN,Hamilton County,37401.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,3.33154099,142.2418333,59763
99,42540,"Scranton--Wilkes-Barre--Hazleton, PA",-75.89558000000001,41.32306,7,100,82.63499,10.5272,3.4704800000000002,1.94803,0.1199,1.29941,Scranton,PA,Lackawanna County,18501.0,US,TIGER/Lineå¨ dataset from the US Census Bureau,2.184331916,59.7479024,57361
