,url,title,faves,comments,views,tags,date,datetime,year,month
44,https://www.deviantart.com/arvalis/art/Sonic-the-Realhog-350628913,Sonic the Realhog,7000,843,142000,[],"Jan 26, 2013",2013-01-26,2013,1
45,https://www.deviantart.com/asamy753/art/sonic-base-female-395937742,sonic base female,681,89,26000,[],"Aug 26, 2013",2013-08-26,2013,8
46,https://www.deviantart.com/atariboy2600/art/Adventures-Of-Sonic-The-Hedgehog-Movie-831023454,Adventures Of Sonic The Hedgehog Movie.,1000,133,16000,"['sonic', 'sonicthehedgehogmovie', 'adventureofsonicthehedgehog', 'aceventurapetdetective', 'cyclops', 'sonicthehedgehog', 'xmentheanimatedseries']","Feb 19, 2020",2020-02-19,2020,2
47,https://www.deviantart.com/atlanticasora/art/Sonic-the-Red-Nosed-Hedgehog-502266643,Sonic the Red-Nosed Hedgehog,567,27,6000,"['christmas', 'copics', 'reindeer', 'sega', 'sonic', 'sonicboom', 'sonicthehedgehog', 'sticks', 'sticksthebadger']","Dec 24, 2014",2014-12-24,2014,12
48,https://www.deviantart.com/atlas-white/art/Sonic-Reflections-Commission-790343956,Sonic | Reflections | Commission,439,19,3000,"['hypermetalsonic', 'metal3', 'monster', 'robot', 'shadow', 'shadowthehedgehog', 'sonadow', 'sonic', 'mephiles', 'mephilesthedark', 'metalsonic3', 'mephilessonic', 'metalsonic', 'shadowsonic', 'sonic_the_hedgehog', 'soniccharacters', 'sonicfanart', 'sonichedgehog', 'sonicthehedgehog', 'shadow_the_hedgehog', 'metal_sonic', 'mephiles_the_dark', 'metalsonicthehedgehog', 'metalsonickai', 'metal_sonic_fanart']","Mar 23, 2019",2019-03-23,2019,3
49,https://www.deviantart.com/atomiccircus/art/Goku-Sonic-Color-Swap-Drawing-531171895,Goku / Sonic Color Swap Drawing,436,20,13000,"['color', 'drawing', 'goku', 'sonic', 'swap']","May 5, 2015",2015-05-05,2015,5
50,https://www.deviantart.com/atryl/art/Sonic-Rainboom-340780364,Sonic Rainboom,2000,108,28000,[],"Dec 2, 2012",2012-12-02,2012,12
51,https://www.deviantart.com/auroblaze/art/Sonic-25th-Anniversary-colored-623858120,Sonic 25th Anniversary: colored,1000,69,19000,"['amyrose', 'creamtherabbit', 'cubot', 'dreggman', 'knucklestheechidna', 'metalsonic', 'milestailsprower', 'orbot', 'rougethebat', 'shadowthehedgehog', 'sonicthehedgehog', 'videogamefanart', 'segasonicteam', 'sonics25thanniversary']","Jul 25, 2016",2016-07-25,2016,7
52,https://www.deviantart.com/axsens/art/Sonica-829865307,Sonica,2000,48,16000,"['anime', 'cartoon', 'crossover', 'cute', 'fantasy', 'game', 'genderbender', 'gijinka', 'girl', 'pinup', 'sonic', 'waifu', 'patreon', 'art', 'axsens']","Feb 9, 2020",2020-02-09,2020,2
53,https://www.deviantart.com/ayamepso/art/SONIC-and-HOBBY-CONSOLAS-244366761,SONIC and HOBBY CONSOLAS,1000,240,29000,[],"Jul 24, 2011",2011-07-24,2011,7
54,https://www.deviantart.com/azulila/art/Sonic-and-Tails-523819748,Sonic and Tails,758,63,7000,"['sonic', 'sonic2', 'sonicthehedgehog2', 'tails', 'milestailsprower', 'sonicthehedgehog']","Mar 31, 2015",2015-03-31,2015,3
55,https://www.deviantart.com/azulila/art/sonic-derp-285900048,sonic derp,1000,231,10000,[],"Feb 19, 2012",2012-02-19,2012,2
56,https://www.deviantart.com/baitong9194/art/Shopping-482919206,Shopping,754,45,6000,"['amy', 'hedgehog', 'rose', 'shuffle', 'sonamy', 'sonic']","Sep 17, 2014",2014-09-17,2014,9
57,https://www.deviantart.com/baitong9194/art/Sonic-23rd-Anniversary-462688663,Sonic 23rd Anniversary,758,53,9000,[],"Jun 22, 2014",2014-06-22,2014,6
