metro_geocode,metro_geoname,metro_lon,metro_lat,metro_code,metro_total,metro_white,metro_hispanic,metro_black,metro_asian,metro_amind,metro_twoplus,City,State,County,Zip,Country,Source
27260,"Jacksonville, FL",-81.79216,30.23653,2,100,62.68491,9.22427,21.27874,4.1412,0.31602,2.35486,Jacksonville,FL,Duval County,32099,US,TIGER/Lineå¨ dataset from the US Census Bureau
36420,"Oklahoma City, OK",-97.50404,35.4296,6,100,63.94896,13.6503,10.44116,3.42026,3.81999,4.71934,Oklahoma City,OK,,,US,US Census Bureau
39580,"Raleigh, NC",-78.46069,35.75726,6,100,61.10815,10.77913,19.60977,6.14639,0.31397,2.04258,Raleigh,NC,Wake County,27601,US,TIGER/Lineå¨ dataset from the US Census Bureau
32820,"Memphis, TN-MS-AR",-89.81543,35.00766,2,100,43.26339,5.72485,47.28525,2.16597,0.18962,1.37093,Memphis,TN,Shelby County,37501,US,TIGER/Lineå¨ dataset from the US Census Bureau
40060,"Richmond, VA",-77.47333,37.46197,2,100,57.23856,6.47947,29.60238,4.12878,0.35187,2.19894,Richmond,VA,Richmond city,23218,US,TIGER/Lineå¨ dataset from the US Census Bureau
31140,"Louisville_Jefferson County, KY-IN",-85.67089,38.3367,2,100,75.84215,5.03954,14.6111,2.225,0.19086,2.09134,Louisville,KY,,,US,US Census Bureau
35380,"New Orleans-Metairie, LA",-89.94768,29.90479,2,100,51.3737,8.99678,34.9014,2.86154,0.37602,1.49056,New Orleans,LA,Orleans Parish,70112,US,TIGER/Lineå¨ dataset from the US Census Bureau
41620,"Salt Lake City, UT",-113.01057,40.47052,7,100,71.35276,18.21486,1.68453,5.83408,0.66321,2.25056,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Lineå¨ dataset from the US Census Bureau
25540,"Hartford-West Hartford-East Hartford, CT",-72.57729,41.7347,7,100,66.69891,15.23891,10.8507,5.27638,0.18097,1.75412,Hartford,CT,Hartford County,6101,US,TIGER/Lineå¨ dataset from the US Census Bureau
13820,"Birmingham-Hoover, AL",-86.81376,33.46376,2,100,63.36442,4.53143,29.01968,1.58786,0.25942,1.23719,Birmingham,AL,Jefferson County,35201,US,TIGER/Lineå¨ dataset from the US Census Bureau
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",-78.73685,42.91121,7,100,77.0937,5.21797,11.96397,3.21505,0.64859,1.86072,Buffalo,NY,Erie County,14201,US,TIGER/Lineå¨ dataset from the US Census Bureau
40380,"Rochester, NY",-77.50784,42.96589,7,100,76.29042,7.60931,11.00159,2.85356,0.24004,2.00508,Rochester,NY,Monroe County,14601,US,TIGER/Lineå¨ dataset from the US Census Bureau
24340,"Grand Rapids-Wyoming, MI",-85.48822,42.99886,7,100,78.48252,9.6593,6.50623,2.87029,0.34197,2.13969,Grand Rapids,MI,Kent County,49501,US,TIGER/Lineå¨ dataset from the US Census Bureau
46060,"Tucson, AZ",-111.78953,32.09746,1,100,51.43142,37.55107,3.38917,3.24251,2.43862,1.94722,Tucson,AZ,Pima County,85701,US,TIGER/Lineå¨ dataset from the US Census Bureau
23420,"Fresno, CA",-119.64847,36.75833,6,100,29.03831,53.46712,4.63908,10.37872,0.59956,1.87721,Fresno,TX,Fort Bend County,77545,US,TIGER/Lineå¨ dataset from the US Census Bureau
46140,"Tulsa, OK",-96.16629,36.25036,6,100,64.67468,10.18307,8.16696,2.65356,8.16615,6.15558,Tulsa,OK,Tulsa County,74101,US,TIGER/Lineå¨ dataset from the US Census Bureau
46520,"Urban Honolulu, HI",-157.97469,21.4588,6,100,18.00404,10.00041,2.55367,50.68647,0.18111,18.5743,Honolulu,HI,Honolulu County,96801,US,TIGER/Lineå¨ dataset from the US Census Bureau
49340,"Worcester, MA-CT",-71.92734,42.22282,7,100,76.84462,11.95992,4.37646,4.85174,0.20077,1.76649,Worcester,MA,Worcester County,1601,US,TIGER/Lineå¨ dataset from the US Census Bureau
14860,"Bridgeport-Stamford-Norwalk, CT",-73.38906,41.26981,1,100,61.51365,20.17709,10.97441,5.71633,0.12471,1.49382,Bridgeport,CT,Fairfield County,6601,US,TIGER/Lineå¨ dataset from the US Census Bureau
36540,"Omaha-Council Bluffs, NE-IA",-95.99907,41.29025,7,100,75.79723,10.69913,7.63152,3.16398,0.44417,2.26396,Omaha,NE,Douglas County,68101,US,TIGER/Lineå¨ dataset from the US Census Bureau
10740,"Albuquerque, NM",-106.47157,35.12232,6,100,38.90736,49.38636,2.27649,2.24614,5.4477,1.73595,Albuquerque,NM,Bernalillo County,87101,US,TIGER/Lineå¨ dataset from the US Census Bureau
24860,"Greenville-Anderson-Mauldin, SC",-82.41344,34.68514,2,100,72.60259,7.00984,16.47206,2.0327,0.21288,1.66993,Greenville,NC,Pitt County,27833,US,TIGER/Lineå¨ dataset from the US Census Bureau
12540,"Bakersfield, CA",-118.72976,35.34281,1,100,33.50224,53.95466,5.20605,4.82635,0.62157,1.88913,Bakersfield,CA,Kern County,93301,US,TIGER/Lineå¨ dataset from the US Census Bureau
28940,"Knoxville, TN",-84.1374,36.04461,7,100,86.57593,3.97392,5.72608,1.64755,0.27816,1.79835,Knoxville,TN,Knox County,37901,US,TIGER/Lineå¨ dataset from the US Census Bureau
10580,"Albany-Schenectady-Troy, NY",-73.94196,42.78845,7,100,79.54559,5.35413,8.10321,4.52122,0.22,2.25585,Albany,NY,Albany County,12201,US,TIGER/Lineå¨ dataset from the US Census Bureau
32580,"McAllen-Edinburg-Mission, TX",-98.18139,26.39669,1,100,6.04696,92.37544,0.41366,0.94314,0.06097,0.15983,McAllen,TX,Hidalgo County,78501,US,TIGER/Lineå¨ dataset from the US Census Bureau
