,year,startdate,enddate,frost_season,growing_season,city,rank
30,1980,10/22/80,4/8/81,168 days 00:00:00.000000000,197,Salt Lake City,97
31,1981,10/31/81,4/22/82,173 days 00:00:00.000000000,192,Salt Lake City,97
32,1982,10/9/82,4/26/83,199 days 00:00:00.000000000,166,Salt Lake City,97
33,1983,11/8/83,4/26/84,170 days 00:00:00.000000000,195,Salt Lake City,97
34,1984,10/16/84,3/30/85,165 days 00:00:00.000000000,200,Salt Lake City,97
35,1985,11/9/85,4/26/86,168 days 00:00:00.000000000,197,Salt Lake City,97
36,1986,10/12/86,4/19/87,189 days 00:00:00.000000000,176,Salt Lake City,97
37,1987,11/11/87,5/2/88,173 days 00:00:00.000000000,192,Salt Lake City,97
38,1988,11/14/88,3/21/89,127 days 00:00:00.000000000,238,Salt Lake City,97
39,1989,10/17/89,4/30/90,195 days 00:00:00.000000000,170,Salt Lake City,97
40,1990,10/17/90,4/27/91,192 days 00:00:00.000000000,173,Salt Lake City,97
41,1991,10/24/91,3/11/92,139 days 00:00:00.000000000,226,Salt Lake City,97
42,1992,11/3/92,4/14/93,162 days 00:00:00.000000000,203,Salt Lake City,97
43,1993,10/29/93,4/8/94,161 days 00:00:00.000000000,204,Salt Lake City,97
44,1994,10/29/94,4/16/95,169 days 00:00:00.000000000,196,Salt Lake City,97
45,1995,10/22/95,4/28/96,189 days 00:00:00.000000000,176,Salt Lake City,97
46,1996,10/16/96,4/13/97,179 days 00:00:00.000000000,186,Salt Lake City,97
47,1997,10/13/97,4/18/98,187 days 00:00:00.000000000,178,Salt Lake City,97
48,1998,11/3/98,5/11/99,189 days 00:00:00.000000000,176,Salt Lake City,97
49,1999,10/16/99,4/1/00,168 days 00:00:00.000000000,197,Salt Lake City,97
50,2000,11/2/00,4/13/01,162 days 00:00:00.000000000,203,Salt Lake City,97
51,2001,10/12/01,5/8/02,208 days 00:00:00.000000000,157,Salt Lake City,97
52,2002,10/13/02,4/8/03,177 days 00:00:00.000000000,188,Salt Lake City,97
53,2003,10/26/03,4/11/04,168 days 00:00:00.000000000,197,Salt Lake City,97
54,2004,10/31/04,4/5/05,156 days 00:00:00.000000000,209,Salt Lake City,97
55,2005,11/12/05,4/20/06,159 days 00:00:00.000000000,206,Salt Lake City,97
56,2006,10/18/06,4/13/07,177 days 00:00:00.000000000,188,Salt Lake City,97
57,2007,10/22/07,5/2/08,193 days 00:00:00.000000000,172,Salt Lake City,97
58,2008,10/10/08,4/6/09,178 days 00:00:00.000000000,187,Salt Lake City,97
59,2009,10/26/09,5/7/10,193 days 00:00:00.000000000,172,Salt Lake City,97
60,2010,10/26/10,5/1/11,187 days 00:00:00.000000000,178,Salt Lake City,97
61,2011,10/26/11,4/7/12,164 days 00:00:00.000000000,201,Salt Lake City,97
62,2012,10/26/12,4/23/13,179 days 00:00:00.000000000,186,Salt Lake City,97
63,2013,11/3/13,4/30/14,178 days 00:00:00.000000000,187,Salt Lake City,97
64,2014,11/4/14,4/16/15,163 days 00:00:00.000000000,202,Salt Lake City,97
65,2015,11/7/15,3/19/16,133 days 00:00:00.000000000,232,Salt Lake City,97
66,2016,11/17/16,3/7/17,110 days 00:00:00.000000000,255,Salt Lake City,97
67,2017,10/15/17,4/3/18,170 days 00:00:00.000000000,195,Salt Lake City,97
68,2018,10/15/18,3/31/19,167 days 00:00:00.000000000,198,Salt Lake City,97
69,2019,10/10/19,4/14/20,187 days 00:00:00.000000000,178,Salt Lake City,97
0,1950,11/9/50,5/1/51,173 days 00:00:00.000000000,192,Seattle,98
1,1951,10/30/51,4/29/52,182 days 00:00:00.000000000,183,Seattle,98
2,1952,11/2/52,4/10/53,159 days 00:00:00.000000000,206,Seattle,98
3,1953,10/23/53,5/1/54,190 days 00:00:00.000000000,175,Seattle,98
4,1954,10/25/54,4/28/55,185 days 00:00:00.000000000,180,Seattle,98
5,1955,11/11/55,4/6/56,147 days 00:00:00.000000000,218,Seattle,98
6,1956,10/28/56,2/23/57,118 days 00:00:00.000000000,247,Seattle,98
7,1957,11/4/57,3/14/58,130 days 00:00:00.000000000,235,Seattle,98
8,1958,11/15/58,3/20/59,125 days 00:00:00.000000000,240,Seattle,98
9,1959,11/7/59,3/14/60,128 days 00:00:00.000000000,237,Seattle,98
10,1960,11/20/60,4/20/61,151 days 00:00:00.000000000,214,Seattle,98
11,1961,11/5/61,3/28/62,143 days 00:00:00.000000000,222,Seattle,98
12,1962,11/28/62,4/2/63,125 days 00:00:00.000000000,240,Seattle,98
13,1963,11/19/63,3/19/64,121 days 00:00:00.000000000,244,Seattle,98
14,1964,11/14/64,3/27/65,133 days 00:00:00.000000000,232,Seattle,98
15,1965,11/23/65,3/22/66,119 days 00:00:00.000000000,246,Seattle,98
16,1966,11/8/66,3/13/67,125 days 00:00:00.000000000,240,Seattle,98
17,1967,11/21/67,3/30/68,130 days 00:00:00.000000000,235,Seattle,98
18,1968,12/6/68,3/12/69,96 days 00:00:00.000000000,269,Seattle,98
19,1969,11/27/69,3/2/70,95 days 00:00:00.000000000,270,Seattle,98
20,1970,10/27/70,3/21/71,145 days 00:00:00.000000000,220,Seattle,98
21,1971,10/28/71,3/7/72,131 days 00:00:00.000000000,234,Seattle,98
22,1972,12/3/72,3/19/73,106 days 00:00:00.000000000,259,Seattle,98
23,1973,11/5/73,3/8/74,123 days 00:00:00.000000000,242,Seattle,98
24,1974,11/4/74,4/5/75,152 days 00:00:00.000000000,213,Seattle,98
25,1975,11/17/75,4/2/76,137 days 00:00:00.000000000,228,Seattle,98
26,1976,11/26/76,2/3/77,69 days 00:00:00.000000000,296,Seattle,98
27,1977,11/8/77,3/1/78,113 days 00:00:00.000000000,252,Seattle,98
28,1978,11/11/78,2/22/79,103 days 00:00:00.000000000,262,Seattle,98
29,1979,11/1/79,3/6/80,126 days 00:00:00.000000000,239,Seattle,98
30,1980,11/11/80,2/11/81,92 days 00:00:00.000000000,273,Seattle,98
31,1981,11/24/81,3/17/82,113 days 00:00:00.000000000,252,Seattle,98
32,1982,11/10/82,2/5/83,87 days 00:00:00.000000000,278,Seattle,98
33,1983,12/1/83,2/5/84,66 days 00:00:00.000000000,299,Seattle,98
34,1984,10/31/84,4/21/85,172 days 00:00:00.000000000,193,Seattle,98
35,1985,10/29/85,2/20/86,114 days 00:00:00.000000000,251,Seattle,98
36,1986,11/10/86,2/25/87,107 days 00:00:00.000000000,258,Seattle,98
37,1987,11/17/87,3/11/88,115 days 00:00:00.000000000,250,Seattle,98
38,1988,11/30/88,3/20/89,110 days 00:00:00.000000000,255,Seattle,98
39,1989,12/11/89,3/13/90,92 days 00:00:00.000000000,273,Seattle,98
40,1990,11/18/90,3/27/91,129 days 00:00:00.000000000,236,Seattle,98
41,1991,10/30/91,2/16/92,109 days 00:00:00.000000000,256,Seattle,98
42,1992,11/23/92,2/28/93,97 days 00:00:00.000000000,268,Seattle,98
43,1993,11/22/93,3/23/94,121 days 00:00:00.000000000,244,Seattle,98
44,1994,11/17/94,3/3/95,106 days 00:00:00.000000000,259,Seattle,98
45,1995,11/3/95,3/2/96,120 days 00:00:00.000000000,245,Seattle,98
46,1996,10/31/96,4/2/97,153 days 00:00:00.000000000,212,Seattle,98
47,1997,12/6/97,3/29/98,113 days 00:00:00.000000000,252,Seattle,98
48,1998,12/19/98,3/28/99,99 days 00:00:00.000000000,266,Seattle,98
49,1999,12/24/99,3/20/00,87 days 00:00:00.000000000,278,Seattle,98
50,2000,11/11/00,3/3/01,112 days 00:00:00.000000000,253,Seattle,98
51,2001,10/28/01,3/20/02,143 days 00:00:00.000000000,222,Seattle,98
52,2002,11/2/02,2/26/03,116 days 00:00:00.000000000,249,Seattle,98
53,2003,10/31/03,3/2/04,123 days 00:00:00.000000000,242,Seattle,98
54,2004,11/4/04,2/23/05,111 days 00:00:00.000000000,254,Seattle,98
55,2005,11/15/05,3/12/06,117 days 00:00:00.000000000,248,Seattle,98
56,2006,10/30/06,3/21/07,142 days 00:00:00.000000000,223,Seattle,98
