Date,Subs,Name,Views
2015-10-25,3685,Jinx,1236964
2015-10-26,3067,Jinx,0
2015-10-27,3050,Jinx,2256405
2015-10-28,2903,Jinx,1093984
2015-10-29,3269,Jinx,1159334
2015-10-30,2430,Jinx,928160
2015-10-31,3207,Jinx,1007935
2015-11-01,3059,Jinx,1149000
2015-11-02,1991,Jinx,0
2015-11-03,3130,Jinx,2587936
2015-11-04,3281,Jinx,1325588
2015-11-05,3679,Jinx,1189640
2015-11-06,4145,Jinx,1133127
2015-11-07,5114,Jinx,1298809
2015-11-08,3263,Jinx,1492568
2015-11-09,4583,Jinx,0
2015-11-10,3768,Jinx,0
2015-11-11,3422,Jinx,4079856
2015-11-12,4848,Jinx,1480123
2015-11-13,6127,Jinx,1171235
2015-11-14,4669,Jinx,1433387
2015-11-15,4665,Jinx,1459749
2015-11-16,3468,Jinx,1453761
2015-11-17,4316,Jinx,1158291
2015-11-18,3291,Jinx,1205549
2015-11-19,3288,Jinx,1281141
2015-11-20,5846,Jinx,1241545
2015-11-21,4518,Jinx,1256649
2015-11-22,5690,Jinx,1529772
2015-11-23,4408,Jinx,1496766
2015-11-24,3642,Jinx,1370627
2015-11-25,4694,Jinx,1281999
2015-11-26,3484,Jinx,1374263
2015-11-27,4992,Jinx,1264617
2015-11-28,4992,Jinx,1267155
2015-11-29,3920,Jinx,1578451
2015-11-30,3672,Jinx,1586581
2015-12-01,3611,Jinx,1183316
2015-12-02,3873,Jinx,960071
2015-12-03,3429,Jinx,1272320
2015-12-04,5034,Jinx,1210007
2015-12-05,5523,Jinx,0
2015-12-06,4191,Jinx,1415663
2015-12-07,3401,Jinx,0
2015-12-08,3315,Jinx,0
2015-12-09,3202,Jinx,4181137
2015-12-10,2980,Jinx,2468152
2015-12-11,3525,Jinx,905542
2015-12-12,2810,Jinx,-2458483
2015-12-13,2387,Jinx,1500245
2015-12-14,2199,Jinx,0
2015-12-15,2210,Jinx,1437556
2015-12-16,2336,Jinx,1108130
2015-12-17,2187,Jinx,1053738
2015-12-18,3352,Jinx,1205666
2015-12-19,1809,Jinx,1290370
2015-12-20,3122,Jinx,1357240
2015-12-21,2592,Jinx,0
2015-12-22,2830,Jinx,3287040
2015-12-23,3071,Jinx,1505144
2015-12-24,2551,Jinx,1336549
2015-12-25,2189,Jinx,1282881
2015-12-26,2827,Jinx,1015908
2015-12-27,3323,Jinx,978814
2015-12-28,2498,Jinx,0
2015-12-29,3881,Jinx,2477401
2015-12-30,3089,Jinx,1879935
2015-12-31,2839,Jinx,1490835
2016-01-01,2878,Jinx,1447141
