"","X","per","ts_pct","usg_pct","bpm","vorp","age","win_pct","g","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","ws","ws_per_48"
"365",364,25.8,0.596,28.1,4.6,4.6,29,0.634146341463415,79,21.7,9.5,1.6,0.5,3.7,0.551,0,0.711,12.9,0.226
"366",365,27.1,0.582,31.9,6.9,6.6,36,0.670731707317073,82,25.5,9.5,3.7,1,0.9,0.509,0.25,0.797,15.3,0.249
"367",366,24.8,0.555,28.7,6.1,5.9,23,0.646341463414634,74,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,13,0.218
"368",367,23.6,0.535,26.8,6.8,7.6,31,0.548780487804878,82,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,13.9,0.195
"369",368,20,0.496,34.4,2.6,3.3,24,0.597560975609756,70,28.4,3.8,4.7,2.1,0.1,0.421,0.341,0.713,6.9,0.116
"370",369,24.5,0.565,30.5,4.8,4.7,27,0.51219512195122,74,25.8,6.6,5.2,1.4,0.6,0.489,0.347,0.795,10.7,0.185
"371",370,23.4,0.53,28.2,5.9,5.7,26,0.536585365853659,75,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.751,10.7,0.179
"372",371,23.4,0.543,30,4.6,5.2,23,0.548780487804878,82,25.7,5.8,3.9,1.3,1.1,0.465,0.403,0.791,11.8,0.182
"373",372,18.4,0.498,20,4.1,4.1,26,0.646341463414634,67,14.3,7.2,10.1,2,0.4,0.409,0.337,0.829,8.5,0.156
"374",373,21.7,0.546,26.8,5.3,4.7,21,0.817073170731707,66,22.5,6.3,4.9,1.6,0.9,0.468,0.319,0.821,10.6,0.202
"375",374,19.5,0.542,23.9,4.4,4.2,31,0.5,82,16.2,3.3,6.1,2.1,0.1,0.433,0.34,0.911,8,0.149
"376",375,19.2,0.522,25.1,2.4,3.8,26,0.48780487804878,82,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,8.3,0.114
"377",376,17.3,0.603,20.5,3.3,4,34,0.682926829268293,81,18.1,3,2.3,1,0.3,0.448,0.408,0.919,10.1,0.162
"378",377,16.7,0.547,23.2,2.1,3.1,27,0.682926829268293,80,18.2,4.8,4,1.1,0.6,0.471,0.393,0.827,7.3,0.118
"379",378,24,0.518,35.9,4.8,5.1,25,0.682926829268293,71,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19
"380",379,23.8,0.536,28.7,5.4,5.9,24,0.707317073170732,82,22.2,12.2,3,0.9,2.3,0.499,0.259,0.618,13.2,0.2
"381",380,30.2,0.574,31.6,7.3,6.8,28,0.682926829268293,74,28.7,12.7,3.7,0.6,2.8,0.572,0,0.513,14.9,0.245
"382",381,24.7,0.516,31.6,4.9,4.9,27,0.670731707317073,70,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11,0.186
"383",382,23.9,0.531,27,5.7,6.2,24,0.573170731707317,81,22,11.4,5,1.4,1.8,0.477,0.288,0.764,11.8,0.176
"384",383,24.9,0.521,31.2,5.6,5.9,21,0.524390243902439,77,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189
"385",384,24.7,0.572,30,5.9,5.8,37,0.646341463414634,81,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217
"386",385,19.4,0.51,22.7,4.8,5.3,27,0.621951219512195,77,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15
"387",386,24.5,0.552,31.8,4.2,4.4,22,0.682926829268293,68,28.5,5.9,5,1.7,0.6,0.464,0.305,0.853,11.3,0.196
"388",387,23.7,0.559,22.8,5.5,4.5,35,0.707317073170732,80,14.4,8.6,1.5,1,2.5,0.486,0,0.747,12.1,0.246
"389",388,22.9,0.61,24.4,5.6,6,25,0.634146341463415,82,22,5.2,4.6,1.5,0.2,0.48,0.433,0.888,13.7,0.211
"390",389,25,0.551,30.7,7,6.8,24,0.573170731707317,75,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,12.9,0.208
"391",390,22.3,0.563,30.6,3.2,4.1,23,0.439024390243902,82,25.3,6.4,3.1,1.7,0.8,0.454,0.383,0.745,10.4,0.16
"392",391,21.8,0.521,35.2,3.7,4.6,26,0.390243902439024,80,29.8,3.9,5.1,1.2,0.7,0.402,0.351,0.822,9.2,0.137
"393",392,18.2,0.521,24.9,2.3,3.7,27,0.646341463414634,82,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,8.5,0.119
"394",393,17.4,0.555,20,2.7,3.8,34,0.609756097560976,80,16.1,9.6,3.1,1,0.3,0.482,0,0.781,11.6,0.171
"395",394,22.3,0.61,18.8,3.5,3.3,38,0.646341463414634,82,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216
"396",395,27,0.576,29,7.6,8.1,25,0.707317073170732,82,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257
"397",396,19.1,0.484,22.5,5.1,5.4,28,0.634146341463415,82,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14
"398",397,29.7,0.59,31.8,7,5.5,29,0.707317073170732,67,27.2,10.7,3,0.6,2,0.579,0,0.555,13.2,0.262
"399",398,25.1,0.532,31.1,6,5.9,22,0.536585365853659,76,25.6,7.9,5.3,1.6,1,0.451,0.364,0.748,11.5,0.189
"400",399,23.2,0.544,30.4,4.4,5,23,0.707317073170732,80,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199
"401",400,22.9,0.526,27.2,4.6,5.5,33,0.548780487804878,82,22.1,4.8,9,1.6,0.3,0.467,0.314,0.797,12.6,0.183
"402",401,24.4,0.54,29,6.2,4.3,28,0.74390243902439,54,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2
"403",402,24.1,0.599,25.5,4.7,4.8,23,0.695121951219512,76,23.4,9.9,2.4,1.1,1,0.477,0.397,0.853,13.4,0.222
"404",403,21.9,0.489,37.8,3.8,3.9,26,0.524390243902439,60,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126
"405",404,18.6,0.522,10.5,5.9,5.9,27,0.609756097560976,80,7.6,13,1.4,1.7,3.5,0.531,0,0.423,11.6,0.19
"406",405,22.3,0.57,29.3,4.9,5.7,24,0.597560975609756,82,26.1,6.9,3.2,1.9,1,0.442,0.404,0.809,12.9,0.187
"407",406,23.8,0.536,26,6.7,7,25,0.609756097560976,81,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,12.8,0.194
"408",407,20.7,0.468,36,2.4,2.4,38,0.451219512195122,60,22.9,5.7,5.2,1.4,0.4,0.416,0.189,0.79,3.3,0.075
"409",408,20.7,0.602,23,2.3,3.1,27,0.695121951219512,82,17.9,3.1,7.7,0.6,0,0.483,0.455,0.887,9.9,0.167
"410",409,19,0.518,32.3,0.7,1.9,27,0.609756097560976,76,21.4,4.1,5.3,1,0.5,0.397,0.287,0.858,5.8,0.104
"411",410,14.9,0.513,19.7,-0.4,1.1,23,0.74390243902439,80,13.7,2.8,5,1.1,0.2,0.453,0.37,0.803,6.3,0.113
"412",411,23.6,0.586,21.1,6.2,6.2,22,0.475609756097561,80,18.2,11.6,2.4,1,2,0.527,0,0.742,13.6,0.216
"413",412,19.3,0.592,23.2,2.7,3.2,24,0.74390243902439,71,21.2,5.3,2.5,1.1,0.2,0.484,0.416,0.876,9.9,0.179
"414",413,26.9,0.564,28,7.4,7.6,26,0.731707317073171,81,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248
"415",414,26.4,0.553,26.4,8.7,9,26,0.621951219512195,82,23,13.4,6,1.4,1.6,0.502,0.282,0.751,15.6,0.225
"416",415,26.2,0.55,32.9,6.4,7.1,24,0.609756097560976,82,30,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21
"417",416,30.3,0.564,35.2,9.7,8.7,23,0.51219512195122,75,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262
"418",417,29.5,0.602,30.2,6.3,5.3,30,0.609756097560976,67,27.5,11.1,3.1,0.6,2.4,0.574,0,0.622,13.2,0.25
"419",418,21.2,0.5,32.9,2.8,4.2,27,0.585365853658537,82,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127
"420",419,25.6,0.581,27.4,5.7,6.1,24,0.731707317073171,80,25.1,9.9,3,1.4,1,0.463,0.379,0.881,16.1,0.249
"421",420,17.2,0.486,10.2,5.1,5.1,28,0.609756097560976,73,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176
"422",421,22.2,0.526,25.9,6.9,6.7,29,0.597560975609756,80,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182
"423",422,20.9,0.485,30.4,3.8,3.8,29,0.719512195121951,67,23,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127
"424",423,18,0.507,27.1,2,3.3,30,0.573170731707317,82,21.6,6.1,5.6,1,0.2,0.422,0.389,0.848,9,0.13
"425",424,22.6,0.576,24.4,3.3,3.7,28,0.731707317073171,82,17.7,2.9,7.3,1,0.1,0.465,0.413,0.909,11.6,0.206
"426",425,22.7,0.532,33.2,4.2,4.9,25,0.536585365853659,79,25.9,7.3,4.4,1.8,0.8,0.416,0.302,0.802,10.1,0.157
"427",426,29.4,0.547,29.6,9.9,9.8,27,0.707317073170732,82,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272
"428",427,27.1,0.534,29.7,7.3,5.9,27,0.695121951219512,69,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249
"429",428,21.1,0.489,30.2,1.8,2.7,25,0.74390243902439,78,20.1,10,2.1,0.8,2.6,0.434,0.111,0.757,9,0.155
"430",429,21.8,0.624,23.9,3.7,4.7,26,0.670731707317073,81,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198
"431",430,23.7,0.551,29.1,5.7,4.7,25,0.682926829268293,65,24,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21
"432",431,24.4,0.578,26.3,5.4,4.6,31,0.682926829268293,67,21.5,11.5,2.9,0.5,2.5,0.584,0,0.49,9.9,0.192
"433",432,17.3,0.441,15.3,5.1,5.5,29,0.658536585365854,81,9.5,12.4,1.7,1.8,3,0.421,0.125,0.49,10.2,0.16
"434",433,19.7,0.485,24.6,4.5,4.1,30,0.573170731707317,67,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141
"435",434,18.3,0.488,28.2,1.9,3.1,19,0.426829268292683,79,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078
"436",435,22.8,0.566,27.2,4.3,4.5,34,0.707317073170732,81,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205
"437",436,20.7,0.492,30.1,5.6,5.2,24,0.5,67,22.9,4.3,7.5,2.4,0.4,0.395,0.321,0.673,7.5,0.133
"438",437,22.5,0.561,24.5,3.4,4,25,0.634146341463415,77,21.8,8.7,2.7,1.2,1.4,0.462,0.341,0.877,11.5,0.19
"439",438,22.6,0.559,21.9,8.2,7.5,22,0.51219512195122,78,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192
"440",439,17.6,0.509,28.5,0.1,1.6,19,0.524390243902439,82,21,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098
"441",440,21.9,0.586,25.3,1.9,2.6,23,0.548780487804878,82,17.5,9,1.5,0.3,1.9,0.522,0,0.809,11.4,0.202
"442",441,19.9,0.544,26.3,2.2,3.2,24,0.5,82,21.7,5,2.3,1,0.1,0.44,0.35,0.868,9.7,0.154
"443",442,22,0.606,20.5,1.7,2.4,30,0.75609756097561,75,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203
"444",443,27,0.583,30.5,5.6,4.7,32,0.719512195121951,73,22.9,10.4,2.7,0.5,2.3,0.601,0,0.461,11,0.211
"445",444,26.1,0.578,28.7,5.7,5.9,26,0.707317073170732,78,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248
"446",445,27,0.54,28.9,6.4,4.7,28,0.719512195121951,66,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245
"447",446,23.2,0.532,35,4.3,5,29,0.524390243902439,75,30.7,4,7.9,2.4,0.1,0.424,0.308,0.835,9,0.136
"448",447,25.7,0.554,29.7,8.3,8.8,20,0.51219512195122,80,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203
"449",448,22.9,0.526,31.2,6.8,7,25,0.621951219512195,78,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12,0.18
"450",449,23.1,0.561,30.9,4.4,4.8,23,0.719512195121951,77,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11,0.177
"451",450,26.6,0.617,28.3,3.4,3.9,22,0.75609756097561,80,26,8.9,1.6,1,1.6,0.559,0.188,0.733,14.6,0.243
"452",451,20.9,0.555,28,3.7,4.4,29,0.634146341463415,78,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168
"453",452,28.2,0.567,27.1,9.7,9.3,28,0.536585365853659,82,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248
"454",453,21.3,0.565,27.3,4,4.9,23,0.548780487804878,80,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169
"455",454,22.9,0.541,31.6,5.3,5.2,28,0.5,77,24.5,5.2,4.2,1.4,0.6,0.452,0.406,0.798,9.4,0.159
"456",455,15.5,0.512,15.9,1.3,2.3,35,0.219512195121951,82,10.8,9,2.2,0.9,0.6,0.446,0,0.864,6.9,0.118
"457",456,18,0.505,17.2,3.4,2.8,30,0.597560975609756,66,10.3,10,2.3,0.9,3,0.465,0,0.723,5.8,0.138
"458",457,21.7,0.556,21.3,4.9,5.5,26,0.75609756097561,81,19.4,11.3,1.9,2,1.5,0.476,0.334,0.833,12.5,0.191
"459",458,23.3,0.632,23.3,3.7,4,31,0.658536585365854,79,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212
"460",459,28.1,0.568,33.6,9.3,9.5,21,0.609756097560976,79,31.4,7,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232
"461",460,28.1,0.589,30,5.7,6,27,0.731707317073171,81,26.6,9,2.8,0.7,1,0.48,0.406,0.901,17.7,0.275
"462",461,28,0.559,38.7,5.8,6.5,27,0.548780487804878,80,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224
"463",462,23.4,0.602,22.9,4.7,4.9,29,0.780487804878049,81,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254
"464",463,27.6,0.577,32.5,7.5,7,24,0.634146341463415,75,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239
"465",464,26.5,0.58,27.7,6.3,6.5,26,0.573170731707317,79,24.7,10,2.6,1,2.5,0.527,0.333,0.775,14.8,0.229
"466",465,23.1,0.523,27.7,4.6,4.6,29,0.768292682926829,80,18.6,11,3.2,0.9,2,0.484,0.4,0.629,10.8,0.187
"467",466,20.8,0.584,27.1,2.6,3.1,23,0.768292682926829,80,18.9,3.3,5.8,1,0.1,0.548,0.306,0.707,9.6,0.169
"468",467,25.9,0.543,35.8,3.5,4.3,30,0.463414634146341,72,33,3.2,7.4,1.9,0.1,0.447,0.323,0.814,10.6,0.165
"469",468,23.6,0.591,22.3,5.3,5.9,27,0.658536585365854,81,21.8,11.8,1.8,2,1.7,0.525,0.331,0.809,14.6,0.214
"470",469,27.6,0.605,28.9,6.7,6.2,28,0.817073170731707,78,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278
"471",470,23.8,0.654,22.9,3.8,3.9,32,0.74390243902439,76,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225
"472",471,26.1,0.58,33.6,4.7,5.3,28,0.51219512195122,77,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13,0.199
"473",472,26.1,0.579,27.9,7.1,6.3,30,0.707317073170732,80,20,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13,0.23
"474",473,24.5,0.552,31,7.4,7.6,22,0.609756097560976,78,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,13.7,0.206
"475",474,23.2,0.515,35,6.2,5.2,27,0.634146341463415,71,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163
"476",475,22.6,0.577,26.7,2.6,3.1,22,0.573170731707317,69,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174
"477",476,24,0.565,31.4,5,5.2,25,0.5,74,28.4,4.6,6,1.9,0.2,0.418,0.351,0.844,10.8,0.177
"478",477,24.1,0.588,26.5,4.6,4.3,25,0.621951219512195,74,20.9,11.7,3,0.9,0.3,0.561,0,0.685,9.9,0.185
"479",478,24.1,0.546,27.4,5,5.2,30,0.390243902439024,76,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171
"480",479,21.3,0.591,21.5,4.4,4.1,30,0.646341463414634,70,17,3.4,7.2,1.2,0.2,0.427,0.345,0.883,11.4,0.216
"481",480,21.7,0.567,29.4,0.9,0.8,34,0.536585365853659,40,17.3,7.4,2,0.2,1.4,0.591,0,0.422,2.8,0.119
"482",481,28.9,0.583,34.7,8.4,5.1,25,0.536585365853659,51,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,8.8,0.219
"483",482,23.1,0.637,25.8,1.6,2.4,24,0.74390243902439,82,20.4,9.6,1,1,1.3,0.575,0,0.781,11.2,0.201
"484",483,22.1,0.552,33.4,2,2.5,22,0.548780487804878,65,28.9,6,3.8,1.2,0.4,0.476,0.268,0.808,7.3,0.14
"485",484,21,0.53,26.5,3.4,3.1,27,0.51219512195122,63,20.1,4.4,8.1,2.1,0.5,0.439,0.304,0.745,6.4,0.139
"486",485,21.4,0.572,27.4,2.7,3,24,0.707317073170732,77,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.783,9.6,0.185
"487",486,24.2,0.576,31.4,5.4,6,29,0.695121951219512,82,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208
"488",487,28.3,0.576,25.7,9.2,8.5,22,0.682926829268293,80,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284
"489",488,25.3,0.588,25.5,7.4,5.5,31,0.804878048780488,71,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,12.9,0.265
"490",489,29.1,0.568,33.5,11.2,10.1,23,0.548780487804878,75,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242
"491",490,22.9,0.619,24.2,2.2,3.3,22,0.634146341463415,82,20.7,14.2,1.3,0.9,2.1,0.599,0,0.59,12.9,0.2
"492",491,27.6,0.656,28.2,3.9,4,25,0.670731707317073,79,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262
"493",492,24.4,0.546,28.2,4.7,4.5,31,0.682926829268293,78,19.3,11.3,2.8,0.7,1.9,0.497,0,0.73,11.1,0.201
"494",493,18.4,0.487,30.4,2.4,2.7,28,0.670731707317073,66,21.6,5.1,5.9,1,0.5,0.419,0.292,0.684,5.8,0.115
"495",494,21.1,0.641,22,1.6,2.6,33,0.670731707317073,81,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181
"496",495,24.3,0.612,28.7,8.1,5.9,30,0.682926829268293,74,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232
"497",496,24.6,0.585,28.8,5.2,5,29,0.621951219512195,77,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,12.9,0.223
"498",497,20.8,0.595,23.1,2.1,3.2,23,0.658536585365854,82,18.8,3,10.5,1.1,0.3,0.507,0.395,0.803,11.3,0.177
"499",498,21.1,0.568,30.2,1.6,2.6,23,0.609756097560976,77,25.7,7.4,3.4,1.3,0.5,0.492,0.354,0.786,8.2,0.14
"500",499,21.9,0.581,26.6,3.2,3.7,26,0.658536585365854,81,21.1,10.4,2.9,1.2,0.5,0.547,0,0.738,10.2,0.173
"501",500,20.3,0.525,25.9,0.3,1.8,31,0.524390243902439,79,21.4,10.2,1.5,1.3,0.4,0.436,0.339,0.76,9.2,0.144
"502",501,19.6,0.599,24.8,4.7,4.9,30,0.804878048780488,80,19.6,5.1,4.5,1.3,0.5,0.464,0.392,0.843,12.4,0.207
"503",502,17.2,0.523,20.5,4,3.6,33,0.719512195121951,77,12.7,6.6,1.8,1.2,1.7,0.432,0.356,0.767,7.6,0.155
"504",503,31.7,0.591,33.8,13,11.6,24,0.804878048780488,81,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318
"505",504,24.4,0.561,32.2,4.5,4.9,30,0.792682926829268,82,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206
"506",505,30.4,0.574,36.2,10.7,9.7,27,0.524390243902439,79,30.2,5,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232
"507",506,25.4,0.6,26.1,4.4,4.6,23,0.719512195121951,79,20.6,13.8,1.4,1,2.9,0.572,0,0.594,13.8,0.234
"508",507,30,0.599,27.5,11.2,10,23,0.597560975609756,78,22.8,5.5,11,2.8,0.1,0.503,0.364,0.868,18.3,0.292
"509",508,18.8,0.592,21.7,2.5,3.2,32,0.5,79,17.7,3,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174
"510",509,17.7,0.582,25.4,2.5,3.4,31,0.75609756097561,81,20.5,5.6,3.6,1,0.3,0.457,0.391,0.83,10.3,0.164
"511",510,23.4,0.556,31.7,3.1,3.2,26,0.658536585365854,72,22,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168
"512",511,24,0.573,27.4,5.8,5.7,24,0.658536585365854,78,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223
"513",512,23.1,0.564,30.3,1.2,2.4,30,0.609756097560976,81,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171
"514",513,24.4,0.549,28.5,4.6,4.2,32,0.658536585365854,75,19.3,10.7,3.5,0.5,1.7,0.504,0,0.692,10.1,0.191
"515",514,22.7,0.618,26.2,3,3.3,28,0.646341463414634,77,19.7,9.9,1.8,0.4,1.9,0.548,1,0.866,10.6,0.196
"516",515,31.1,0.604,33.5,12.5,10.9,25,0.74390243902439,76,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299
"517",516,26.2,0.607,32,5.1,5.8,21,0.609756097560976,82,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,16.1,0.238
"518",517,21.9,0.545,32.3,3.6,4,31,0.695121951219512,73,27,5.4,5,1.5,0.3,0.456,0.329,0.811,9.4,0.16
"519",518,24,0.63,23.9,5.5,5.4,24,0.719512195121951,82,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,13.2,0.223
"520",519,28,0.562,34.9,9.4,8,28,0.573170731707317,77,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13,0.224
"521",520,22.2,0.548,33.4,1.4,2.3,25,0.646341463414634,69,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145
"522",521,22.9,0.578,28.8,2.6,3.5,31,0.670731707317073,81,25,7.7,2.7,0.9,1,0.481,0.421,0.915,12.3,0.194
"523",522,21.6,0.615,22.9,1.8,2.6,35,0.658536585365854,81,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,9.9,0.178
"524",523,20.6,0.574,23.8,3.3,3.7,25,0.646341463414634,76,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177
"525",524,22.6,0.615,27.3,0.3,1.6,27,0.658536585365854,82,23.1,8.9,1,0.6,1,0.557,0.167,0.771,10.7,0.181
"526",525,22.5,0.584,25.8,6.3,4.5,32,0.609756097560976,75,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,9.7,0.216
"527",526,20.2,0.601,24.3,3.1,3.2,33,0.646341463414634,73,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,9.5,0.182
"528",527,25,0.592,28.7,2.3,2.7,25,0.48780487804878,70,24,10.8,2.4,0.6,1,0.518,0.364,0.797,9.6,0.182
"529",528,15.6,0.518,27.5,0.8,2.2,31,0.5,81,20.6,5,3.7,1.6,0.5,0.423,0.328,0.779,5,0.077
"530",529,19.3,0.538,26.3,2.2,3,28,0.646341463414634,76,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,8.4,0.14
"531",530,23.5,0.55,32.2,5.9,6,22,0.75609756097561,81,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208
"532",531,26.1,0.616,27.2,4.8,5,25,0.634146341463415,78,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,14.4,0.235
"533",532,27.3,0.594,31.5,8.6,8.2,26,0.707317073170732,79,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,15.6,0.244
"534",533,23.9,0.548,35.1,3.8,4.1,32,0.695121951219512,82,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178
"535",534,23.6,0.589,30.6,2.9,3.7,22,0.670731707317073,78,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,12,0.189
"536",535,23.4,0.612,28.2,3.8,3.7,32,0.695121951219512,73,23,7,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213
"537",536,25.6,0.581,31.6,5.9,5.7,29,0.707317073170732,76,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218
"538",537,21.7,0.581,26,5.3,4.5,33,0.74390243902439,80,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195
"539",538,22.7,0.565,30.9,0.7,1.9,28,0.51219512195122,78,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8,0.134
"540",539,21.9,0.549,27.3,3.2,4,21,0.390243902439024,82,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152
"541",540,17.1,0.495,18.3,2,2.5,24,0.682926829268293,68,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126
"542",541,20.4,0.569,25.5,1.7,2.4,28,0.74390243902439,78,17.5,3.1,6.6,1.2,0,0.519,0.357,0.769,8.2,0.156
"543",542,23.7,0.578,21.1,6.4,6.1,25,0.560975609756098,80,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232
"544",543,30.7,0.605,32,11,7.6,27,0.696969696969697,62,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298
"545",544,26.2,0.61,31.3,5.2,4.6,23,0.712121212121212,66,28,8,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23
"546",545,27,0.581,24.3,7.9,5.4,26,0.606060606060606,60,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278
"547",546,21.9,0.527,35.7,2.3,2.4,33,0.621212121212121,58,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132
"548",547,22,0.539,27.7,1.7,1.8,29,0.757575757575758,60,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,7.1,0.177
"549",548,25.4,0.568,28.8,4.5,3.5,23,0.393939393939394,55,26,13.3,2,0.9,0.5,0.448,0.372,0.824,10,0.223
"550",549,24.2,0.569,26.1,3.8,3,26,0.560606060606061,54,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,7.7,0.179
