"","X","per","ts_pct","usg_pct","bpm","vorp","age","win_pct","g","pts_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","fg_pct","fg3_pct","ft_pct","ws","ws_per_48"
"57",56,25.1,0.578,26,3.4,4,27,0.792682926829268,78,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248
"58",57,24.1,0.561,25,7.6,7.2,26,0.682926829268293,79,23.6,11,5.8,1.9,0.9,0.504,0.286,0.84,14,0.225
"59",58,23,0.603,19,7.4,6.9,23,0.707317073170732,79,16.8,8.6,10.5,2.2,0.6,0.548,0,0.8,12.5,0.207
"60",59,22.6,0.602,24.7,5.7,5.3,25,0.621951219512195,76,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,13.2,0.233
"61",60,23.1,0.566,25.5,6.3,5.1,32,0.792682926829268,72,21.4,6.8,3.7,1.6,1.8,0.517,0.286,0.759,10.9,0.217
"62",61,24.1,0.561,28.9,4.7,5,29,0.548780487804878,82,28.4,7.3,4.8,1.4,1.5,0.516,0.167,0.829,10.3,0.166
"63",62,18.6,0.611,18.4,3.3,3.9,22,0.597560975609756,82,17,12.5,1.5,1.1,1.3,0.588,0,0.62,11.4,0.185
"64",63,21.2,0.668,19.4,3.6,4,33,0.646341463414634,82,18,12,1.5,0.5,2.3,0.626,0,0.74,11,0.189
"65",64,20.5,0.561,29.1,1.1,2.2,30,0.646341463414634,78,26.2,4.6,3.4,1.1,0.9,0.487,0.364,0.853,9.4,0.159
"66",65,23.6,0.619,24.6,3.8,3.8,35,0.707317073170732,79,21.8,7.5,2.5,0.8,2.2,0.588,0,0.749,10.9,0.205
"67",66,19.6,0.546,22.5,3.2,3.4,27,0.585365853658537,75,18.2,11.4,3.1,1.2,0.9,0.464,0,0.837,9.8,0.183
"68",67,19.4,0.595,23,4.3,4.6,24,0.51219512195122,79,19.4,11,3,0.9,1,0.552,0.333,0.689,10.1,0.169
"69",68,22.8,0.557,26,3.5,3.5,21,0.304878048780488,70,23.7,10.6,2.5,1.8,0.9,0.523,0,0.709,8.7,0.164
"70",69,16.1,0.528,22.5,0.4,1.6,30,0.646341463414634,77,16.5,10.4,2.8,0.7,0.6,0.474,0.333,0.781,7.1,0.132
"71",70,13.8,0.543,17.7,1.2,1.5,24,0.621951219512195,80,8.4,7.1,1.4,0.6,2.2,0.529,0,0.537,3.8,0.096
"72",71,20.3,0.566,29.1,3.4,3,26,0.536585365853659,68,21.9,4.8,2.9,1.3,0.2,0.528,0,0.722,7.5,0.163
"73",72,18.9,0.525,26.1,2.4,3.4,21,0.451219512195122,81,22.9,4,7.8,2.5,0.4,0.472,0.288,0.71,7.4,0.115
"74",73,18.1,0.545,23.7,0.6,1.8,24,0.548780487804878,75,20.1,2.8,8.1,1.7,0.1,0.492,0.125,0.82,7.2,0.128
"75",74,20.5,0.517,25.8,2.7,3.3,29,0.585365853658537,80,20,2.6,8,2.3,0.3,0.477,0.047,0.751,8.5,0.148
"76",75,18.8,0.526,24.2,2.4,3.1,29,0.524390243902439,77,19,11.4,2.9,0.8,1.5,0.47,0.185,0.749,7.4,0.127
"77",76,21.1,0.543,25.7,4.8,4.9,26,0.621951219512195,80,21.4,7,4.5,1.3,0.7,0.509,0.2,0.735,10.7,0.18
"78",77,13.9,0.498,20.9,-2.2,-0.1,27,0.707317073170732,79,15.1,2.6,7.2,1.3,0.1,0.475,0,0.744,3.9,0.069
"79",78,21.8,0.613,24.9,1.6,2.7,24,0.548780487804878,82,26.7,5.3,2.5,0.8,0.5,0.547,0.294,0.875,11,0.182
"80",79,24.2,0.552,26.7,7.8,7.4,27,0.75609756097561,79,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215
"81",80,22.7,0.619,28.7,3.6,3.7,27,0.573170731707317,77,26.3,5.1,2.1,1,0.2,0.572,0,0.779,12.1,0.218
"82",81,22.6,0.628,19.5,6.1,5.2,24,0.658536585365854,67,17.6,7.3,13.1,2.2,0.7,0.565,0.207,0.81,10.2,0.191
"83",82,21.3,0.608,25.1,2.8,3.2,36,0.658536585365854,80,21.5,7.3,2.6,0.7,1.8,0.578,0,0.723,8.9,0.163
"84",83,20.9,0.52,25.4,4.3,4.7,22,0.597560975609756,82,21.3,4,11.1,2.5,0.4,0.462,0.338,0.733,9.1,0.144
"85",84,22.9,0.562,27.2,5.9,5.3,33,0.634146341463415,77,22.4,6.9,4,1.8,1.8,0.512,0.333,0.754,10.1,0.18
"86",85,24.6,0.652,28.2,4.4,4.8,27,0.548780487804878,79,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.859,14.6,0.235
"87",86,19.8,0.591,22.2,4.8,5.3,26,0.609756097560976,79,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,0.198
"88",87,19.6,0.633,23,4.3,4.9,25,0.426829268292683,75,22.2,12.3,3.9,0.9,1,0.579,0.143,0.733,9.3,0.144
"89",88,21.8,0.566,26.4,0.7,1.8,28,0.634146341463415,71,22.7,13.4,1.4,1,1.5,0.483,0,0.75,9.5,0.175
"90",89,23.5,0.572,33.4,3.3,3.9,24,0.524390243902439,79,29.5,5.9,4.5,1,0.3,0.524,0.268,0.749,9,0.149
"91",90,19.2,0.59,18.2,2.4,3.2,26,0.597560975609756,82,17.3,12.2,1.8,0.6,1,0.53,0,0.866,10.8,0.181
