,State,Code,Name,County,Violent,Murder,Rape,Robbery,Aggravated_Assault,Property,Burglary,Larceny,MotorVehicle,Arson,Total,pop_est,normalized
1310,VIRGINIA,VA,Madison,Madison County,11,0,6,1,4,87,5,75,7,0,196,13261,14.78018249
1306,NEBRASKA,NE,Madison,Madison County,10,0,4,0,6,47,10,35,2,2,116,35099,3.304937463
1303,KENTUCKY,KY,Madison3,Madison County,29,0,3,3,23,,,177,34,0,269,92987,2.892877499
1302,TENNESSEE,TN,Madison,Madison County,107,2,4,8,93,465,133,268,64,1,1145,97984,11.68558132
1301,NEW YORK,NY,Madison,Madison County,21,1,8,0,12,127,25,98,4,0,296,70941,4.172481358
1300,ALABAMA,AL,Madison,Madison County,390,2,46,42,300,"2,007",486,"1,306",215,0,4794,372909,12.85568329
1299,IDAHO,ID,Madison,Madison County,16,1,9,0,6,45,11,29,5,0,122,39907,3.057107776
1298,NORTH CAROLINA,NC,Madison,Madison County,,0,,0,17,163,66,84,13,2,345,21755,15.85842335
1297,ILLINOIS,IL,Madison,Madison County,145,2,29,12,102,953,234,639,80,4,2200,262966,8.366100561
1305,OHIO,OH,Madison,Madison County,13,0,1,4,8,334,83,234,17,2,696,44731,15.55967897
1314,KENTUCKY,KY,Magoffin,Magoffin County,0,0,0,0,0,12,2,5,5,1,25,12161,2.055751994
1315,MINNESOTA,MN,Mahnomen,Mahnomen County,12,0,4,0,8,63,16,36,11,1,151,5527,27.32042699
1316,OHIO,OH,Mahoning,Mahoning County,4,0,1,1,2,81,5,72,4,0,170,228683,0.743387134
1317,OKLAHOMA,OK,Major,Major County,3,0,0,0,3,23,7,12,4,0,52,7629,6.816096474
1318,OREGON,OR,Malheur5,Malheur County,15,1,4,1,9,189,59,95,35,0,408,30571,13.34598149
