month,state,totals,year
12/1/2019,Nebraska,8271,2019
12/1/2019,Nevada,12762,2019
12/1/2019,New Hampshire,10232,2019
12/1/2019,New Jersey,8427,2019
12/1/2019,New Mexico,15629,2019
12/1/2019,New York,32574,2019
12/1/2019,North Carolina,54582,2019
12/1/2019,North Dakota,6058,2019
12/1/2019,Ohio,69642,2019
12/1/2019,Oklahoma,41600,2019
12/1/2019,Oregon,37374,2019
12/1/2019,Pennsylvania,96382,2019
12/1/2019,Puerto Rico,2138,2019
12/1/2019,Rhode Island,2406,2019
12/1/2019,South Carolina,37962,2019
12/1/2019,South Dakota,8999,2019
12/1/2019,Tennessee,75036,2019
12/1/2019,Texas,166241,2019
12/1/2019,Utah,87883,2019
12/1/2019,Vermont,3484,2019
12/1/2019,Virgin Islands,110,2019
12/1/2019,Virginia,76559,2019
12/1/2019,Washington,52234,2019
12/1/2019,West Virginia,22990,2019
12/1/2019,Wisconsin,41584,2019
12/1/2019,Wyoming,7556,2019
11/1/2019,Alabama,77657,2019
11/1/2019,Alaska,7213,2019
11/1/2019,Arizona,31352,2019
11/1/2019,Arkansas,23192,2019
11/1/2019,California,92765,2019
11/1/2019,Colorado,39682,2019
11/1/2019,Connecticut,13789,2019
11/1/2019,Delaware,4258,2019
11/1/2019,District of Columbia,595,2019
11/1/2019,Florida,107274,2019
11/1/2019,Georgia,48604,2019
11/1/2019,Guam,181,2019
11/1/2019,Hawaii,923,2019
11/1/2019,Idaho,17385,2019
11/1/2019,Illinois,450084,2019
11/1/2019,Indiana,80002,2019
11/1/2019,Iowa,20819,2019
11/1/2019,Kansas,17643,2019
11/1/2019,Kentucky,391747,2019
11/1/2019,Louisiana,28692,2019
11/1/2019,Maine,8297,2019
11/1/2019,Mariana Islands,13,2019
11/1/2019,Maryland,14459,2019
11/1/2019,Massachusetts,16649,2019
11/1/2019,Michigan,51439,2019
11/1/2019,Minnesota,55511,2019
11/1/2019,Mississippi,26494,2019
11/1/2019,Missouri,51008,2019
11/1/2019,Montana,10295,2019
11/1/2019,Nebraska,6208,2019
11/1/2019,Nevada,10424,2019
11/1/2019,New Hampshire,9538,2019
11/1/2019,New Jersey,7955,2019
11/1/2019,New Mexico,13508,2019
11/1/2019,New York,33832,2019
11/1/2019,North Carolina,48107,2019
11/1/2019,North Dakota,5738,2019
11/1/2019,Ohio,65092,2019
11/1/2019,Oklahoma,40823,2019
11/1/2019,Oregon,32305,2019
11/1/2019,Pennsylvania,92011,2019
11/1/2019,Puerto Rico,2273,2019
11/1/2019,Rhode Island,2149,2019
11/1/2019,South Carolina,31593,2019
11/1/2019,South Dakota,8510,2019
11/1/2019,Tennessee,58890,2019
11/1/2019,Texas,140598,2019
11/1/2019,Utah,76354,2019
11/1/2019,Vermont,3094,2019
11/1/2019,Virgin Islands,242,2019
11/1/2019,Virginia,57662,2019
11/1/2019,Washington,40764,2019
11/1/2019,West Virginia,20851,2019
11/1/2019,Wisconsin,43909,2019
11/1/2019,Wyoming,5411,2019
10/1/2019,Alabama,63254,2019
10/1/2019,Alaska,8281,2019
10/1/2019,Arizona,28833,2019
10/1/2019,Arkansas,19303,2019
10/1/2019,California,96252,2019
10/1/2019,Colorado,37564,2019
10/1/2019,Connecticut,12574,2019
10/1/2019,Delaware,3982,2019
10/1/2019,District of Columbia,933,2019
10/1/2019,Florida,97214,2019
10/1/2019,Georgia,43417,2019
10/1/2019,Guam,217,2019
10/1/2019,Hawaii,1102,2019
10/1/2019,Idaho,19392,2019
10/1/2019,Illinois,478329,2019
10/1/2019,Indiana,77713,2019
10/1/2019,Iowa,16605,2019
10/1/2019,Kansas,13324,2019
10/1/2019,Kentucky,303650,2019
10/1/2019,Louisiana,24893,2019
10/1/2019,Maine,9912,2019
10/1/2019,Mariana Islands,16,2019
10/1/2019,Maryland,13720,2019
10/1/2019,Massachusetts,18059,2019
10/1/2019,Michigan,44078,2019
10/1/2019,Minnesota,62920,2019
10/1/2019,Mississippi,19167,2019
10/1/2019,Missouri,44498,2019
10/1/2019,Montana,11496,2019
10/1/2019,Nebraska,5807,2019
10/1/2019,Nevada,10464,2019
10/1/2019,New Hampshire,9754,2019
10/1/2019,New Jersey,7327,2019
10/1/2019,New Mexico,12265,2019
10/1/2019,New York,33982,2019
10/1/2019,North Carolina,42903,2019
10/1/2019,North Dakota,5886,2019
10/1/2019,Ohio,50834,2019
10/1/2019,Oklahoma,28794,2019
10/1/2019,Oregon,30395,2019
10/1/2019,Pennsylvania,86066,2019
10/1/2019,Puerto Rico,2189,2019
10/1/2019,Rhode Island,2050,2019
10/1/2019,South Carolina,26707,2019
10/1/2019,South Dakota,8783,2019
10/1/2019,Tennessee,45015,2019
10/1/2019,Texas,121299,2019
10/1/2019,Utah,76361,2019
10/1/2019,Vermont,3348,2019
10/1/2019,Virgin Islands,150,2019
10/1/2019,Virginia,40490,2019
10/1/2019,Washington,42984,2019
10/1/2019,West Virginia,18239,2019
10/1/2019,Wisconsin,39395,2019
10/1/2019,Wyoming,5067,2019
9/1/2019,Alabama,56872,2019
9/1/2019,Alaska,6106,2019
9/1/2019,Arizona,29307,2019
9/1/2019,Arkansas,16285,2019
9/1/2019,California,95540,2019
9/1/2019,Colorado,35333,2019
9/1/2019,Connecticut,12365,2019
9/1/2019,Delaware,3356,2019
9/1/2019,District of Columbia,610,2019
9/1/2019,Florida,89815,2019
9/1/2019,Georgia,39794,2019
9/1/2019,Guam,209,2019
9/1/2019,Hawaii,969,2019
9/1/2019,Idaho,15818,2019
9/1/2019,Illinois,483162,2019
9/1/2019,Indiana,72951,2019
9/1/2019,Iowa,12081,2019
9/1/2019,Kansas,11473,2019
9/1/2019,Kentucky,286064,2019
9/1/2019,Louisiana,23463,2019
9/1/2019,Maine,8510,2019
9/1/2019,Mariana Islands,16,2019
9/1/2019,Maryland,11386,2019
9/1/2019,Massachusetts,16991,2019
9/1/2019,Michigan,40925,2019
9/1/2019,Minnesota,54733,2019
9/1/2019,Mississippi,16974,2019
9/1/2019,Missouri,36924,2019
9/1/2019,Montana,10091,2019
9/1/2019,Nebraska,5065,2019
9/1/2019,Nevada,9285,2019
9/1/2019,New Hampshire,8940,2019
9/1/2019,New Jersey,7372,2019
9/1/2019,New Mexico,11850,2019
9/1/2019,New York,32332,2019
9/1/2019,North Carolina,38305,2019
9/1/2019,North Dakota,5455,2019
9/1/2019,Ohio,44767,2019
9/1/2019,Oklahoma,25203,2019
9/1/2019,Oregon,28008,2019
9/1/2019,Pennsylvania,77630,2019
9/1/2019,Puerto Rico,1878,2019
9/1/2019,Rhode Island,1842,2019
9/1/2019,South Carolina,23280,2019
9/1/2019,South Dakota,6932,2019
9/1/2019,Tennessee,40468,2019
9/1/2019,Texas,121718,2019
9/1/2019,Utah,73084,2019
9/1/2019,Vermont,2991,2019
9/1/2019,Virgin Islands,117,2019
9/1/2019,Virginia,37059,2019
9/1/2019,Washington,38130,2019
9/1/2019,West Virginia,17740,2019
9/1/2019,Wisconsin,36278,2019
9/1/2019,Wyoming,5176,2019
8/1/2019,Alabama,69377,2019
8/1/2019,Alaska,6796,2019
8/1/2019,Arizona,33851,2019
8/1/2019,Arkansas,18303,2019
8/1/2019,California,99146,2019
8/1/2019,Colorado,38755,2019
8/1/2019,Connecticut,13326,2019
8/1/2019,Delaware,3547,2019
8/1/2019,District of Columbia,386,2019
8/1/2019,Florida,107318,2019
8/1/2019,Georgia,45508,2019
8/1/2019,Guam,248,2019
8/1/2019,Hawaii,1025,2019
8/1/2019,Idaho,16411,2019
8/1/2019,Illinois,491715,2019
8/1/2019,Indiana,74022,2019
8/1/2019,Iowa,11760,2019
8/1/2019,Kansas,13227,2019
8/1/2019,Kentucky,315348,2019
