,State,Year,Population,deaths_t,rate_t,deaths_s,rate_s,deaths_h,rate_h,deaths_l,rate_l
388,South Dakota,2007.0,791623,52,6.56878337289341,44.0,5.558201315525193,0,0.0,0,0.0
389,South Dakota,2008.0,799124,83,10.38637307852098,68.0,8.509317702884658,14,1.7519183505939002,0,0.0
390,South Dakota,2009.0,807067,75,9.292908767177941,61.0,7.558232463971393,14,1.734676303206549,0,0.0
391,South Dakota,2010.0,814180,75,9.211722223586921,65.0,7.983492593775332,0,0.0,0,0.0
392,South Dakota,2011.0,824082,71,8.615647471974876,60.0,7.280828849556234,0,0.0,0,0.0
393,South Dakota,2012.0,833354,84,10.07975002219945,76.0,9.119773829609025,0,0.0,0,0.0
394,South Dakota,2013.0,844877,80,9.468833924938187,71.0,8.403590108382641,0,0.0,0,0.0
395,South Dakota,2014.0,853175,89,10.431623055059044,76.0,8.907902833533566,10,1.1720924780965218,0,0.0
396,South Dakota,2015.0,858469,96,11.182698501634887,73.0,8.503510318951529,20,2.3297288545072683,0,0.0
397,South Dakota,2016.0,865454,108,12.478999461554283,84.0,9.705888470097776,19,2.195379534903068,0,0.0
398,South Dakota,2017.0,869666,101,11.613653977504008,83.0,9.543893862701314,13,1.4948267495797236,0,0.0
399,South Dakota,2018.0,882235,117,13.261772656945144,91.0,10.314712066512891,23,2.6070151376900714,0,0.0
400,Pennsylvania,1999.0,12263805,1190,9.70335063220591,709.0,5.781239998515958,464,3.7834913389441533,0,0.0
401,Pennsylvania,2000.0,12281054,1256,10.227135227969846,756.0,6.155823433395863,481,3.9166019463801724,12,0.0977114830697756
402,Pennsylvania,2001.0,12298970,1172,9.52925326267159,684.0,5.561441323948266,467,3.7970659331635086,0,0.0
403,Pennsylvania,2002.0,12331031,1220,9.89373881226963,720.0,5.8389278236345366,481,3.900728171066961,0,0.0
404,Pennsylvania,2003.0,12374658,1230,9.939668635690781,724.0,5.850666741658638,487,3.9354622972206585,0,0.0
405,Pennsylvania,2004.0,12410722,1270,10.233087164469561,722.0,5.817550340745687,530,4.270500942652651,0,0.0
406,Pennsylvania,2005.0,12449990,1352,10.859446473450983,768.0,6.1686796535579544,567,4.554220525478334,0,0.0
407,Pennsylvania,2006.0,12510809,1371,10.958523945174129,734.0,5.866926751099789,623,4.979693959039739,11,0.08792397038432927
408,Pennsylvania,2007.0,12563937,1325,10.546057338555581,719.0,5.722728472770916,577,4.592509497620053,16,0.12734861691840701
409,Pennsylvania,2008.0,12612285,1345,10.66420557416836,770.0,6.1051585814941545,556,4.408400222481493,13,0.10307410592132987
410,Pennsylvania,2009.0,12666858,1349,10.649839131377332,825.0,6.5130595132589315,506,3.9946765014654777,15,0.11841926387743512
411,Pennsylvania,2010.0,12702379,1307,10.289411141015396,762.0,5.998876273491761,533,4.196064375027701,0,0.0
412,Pennsylvania,2011.0,12742886,1438,11.28472780812761,883.0,6.929356505268901,532,4.174878438055555,12,0.09417019033208018
413,Pennsylvania,2012.0,12763536,1453,11.383992649059007,819.0,6.416717122903872,612,4.794909498433663,18,0.14102674995393127
414,Pennsylvania,2013.0,12773801,1451,11.359187449373918,918.0,7.18658447865283,508,3.976889885790455,17,0.1330848977528302
415,Pennsylvania,2014.0,12787209,1390,10.87023759445865,897.0,7.0148223900931,480,3.753751111755505,11,0.08602346297773032
416,Pennsylvania,2015.0,12802503,1485,11.599294294248555,932.0,7.279826452686635,538,4.202303252731126,10,0.07810972588719566
417,Pennsylvania,2016.0,12784227,1555,12.163426071830546,976.0,7.634407618074992,554,4.333464979931912,15,0.11733208429418533
418,Pennsylvania,2017.0,12805537,1636,12.77572350148221,993.0,7.754458091058579,615,4.802609995972836,21,0.16399156083809682
419,Pennsylvania,2018.0,12807060,1654,12.914751707261464,1025.0,8.003398125721281,602,4.700532362618743,17,0.13273928598757248
420,Minnesota,1999.0,4873481,296,6.073687370485286,228.0,4.678380812400828,62,1.2721912735475935,0,0.0
421,Minnesota,2000.0,4919479,312,6.342135010638322,223.0,4.533000344142134,84,1.7074978874795481,0,0.0
422,Minnesota,2001.0,4982796,324,6.502373366278691,242.0,4.856710971109393,72,1.4449718591730425,0,0.0
423,Minnesota,2002.0,5018935,306,6.096910998050383,238.0,4.74204188737252,61,1.2153972904610242,0,0.0
424,Minnesota,2003.0,5053572,332,6.569610564567003,244.0,4.828268005284183,83,1.6424026411417507,0,0.0
425,Minnesota,2004.0,5087713,363,7.134836418642325,268.0,5.267592727813066,86,1.6903469201191184,0,0.0
426,Minnesota,2005.0,5119598,361,7.05133488996597,255.0,4.980859825322223,97,1.894680011985316,0,0.0
427,Minnesota,2006.0,5163555,329,6.371579270483223,243.0,4.706060069080314,83,1.6074196943772265,0,0.0
428,Minnesota,2007.0,5207203,344,6.606233711264953,265.0,5.089104457805851,72,1.382700079101967,0,0.0
429,Minnesota,2008.0,5247018,371,7.070682814505306,289.0,5.507890386501438,74,1.4103248740522711,0,0.0
430,Minnesota,2009.0,5281203,336,6.36218679721268,281.0,5.320757410764176,50,0.9467539876804584,0,0.0
431,Minnesota,2010.0,5303925,365,6.881696102414721,280.0,5.2791093388386905,69,1.3009233727852487,10,0.18853961924423893
432,Minnesota,2011.0,5344861,396,7.408985939952414,322.0,6.024478466324942,63,1.178702308628793,0,0.0
433,Minnesota,2012.0,5379139,382,7.10150825252889,310.0,5.763004079277371,66,1.226962158813892,0,0.0
434,Minnesota,2013.0,5420380,427,7.877676472867216,339.0,6.2541740615971575,80,1.4759112829727805,0,0.0
435,Minnesota,2014.0,5457173,377,6.90833880472545,308.0,5.643947882905673,62,1.1361193790264665,0,0.0
436,Minnesota,2015.0,5489594,410,7.4686761898967395,304.0,5.537750150557582,95,1.7305469220492444,0,0.0
437,Minnesota,2016.0,5519952,432,7.826155010043566,332.0,6.014545054014962,88,1.5942167613051708,10,0.1811609956028603
438,Minnesota,2017.0,5576606,465,8.338405115943281,365.0,6.545199714665157,82,1.4704284290480625,0,0.0
439,Minnesota,2018.0,5611179,437,7.788024584494631,356.0,6.344477693547113,68,1.2118665257337184,11,0.19603723210398386
440,Missouri,1999.0,5561948,711,12.783291034004632,426.0,7.659187033032311,269,4.836435004426507,0,0.0
441,Missouri,2000.0,5595211,742,13.261340814492966,434.0,7.756633306590225,302,5.397472946060479,0,0.0
442,Missouri,2001.0,5641142,744,13.18881885972734,427.0,7.569389318687599,301,5.335799027927324,0,0.0
443,Missouri,2002.0,5674825,696,12.264695387082421,423.0,7.453974351631989,265,4.669747525254083,0,0.0
444,Missouri,2003.0,5709403,657,11.507332728132871,411.0,7.1986510673707915,236,4.133531999755491,0,0.0
445,Missouri,2004.0,5747741,664,11.552364659437508,389.0,6.767876283917456,273,4.749692096425361,0,0.0
446,Missouri,2005.0,5790300,752,12.987237276134225,427.0,7.3744020171666405,316,5.45740289795002,0,0.0
447,Missouri,2006.0,5842704,767,13.127483439174739,444.0,7.59922118252097,315,5.391339352464201,0,0.0
448,Missouri,2007.0,5887612,759,12.891474506132537,452.0,7.6771363330328155,285,4.840672245385735,0,0.0
449,Missouri,2008.0,5923916,818,13.808433475424026,421.0,7.106785443952953,386,6.515960050750214,0,0.0
450,Missouri,2009.0,5961088,822,13.789429043825557,471.0,7.901242189345301,339,5.686881320993751,0,0.0
451,Missouri,2010.0,5988927,846,14.12606966156041,489.0,8.165068634164351,348,5.810723690570948,0,0.0
452,Missouri,2011.0,6010688,854,14.208024106391814,513.0,8.534796682176816,326,5.423671965671817,0,0.0
453,Missouri,2012.0,6021988,882,14.646326096963328,546.0,9.066773298120156,328,5.446706303632621,0,0.0
454,Missouri,2013.0,6044171,880,14.55948218539813,556.0,9.198945562592455,312,5.161998229368428,0,0.0
455,Missouri,2014.0,6063589,943,15.551845614866048,588.0,9.697227170245213,341,5.62373208342452,10,0.164918829425939
456,Missouri,2015.0,6083672,1094,17.98256053252049,605.0,9.944651848423124,477,7.840659391236082,0,0.0
457,Missouri,2016.0,6093000,1144,18.775644181848023,650.0,10.667979648777285,477,7.828655834564254,0,0.0
458,Missouri,2017.0,6113532,1307,21.378803611398453,701.0,11.466366741844158,594,9.716150990949258,0,0.0
459,Missouri,2018.0,6126452,1311,21.399008757434157,726.0,11.850251989242713,566,9.238626206489498,10,0.16322661142207595
460,Arkansas,1999.0,2651860,388,14.631239959877218,234.0,8.823995233534198,142,5.354732150264343,0,0.0
461,Arkansas,2000.0,2673400,416,15.560709209246653,244.0,9.126954440038903,159,5.9474826064187925,0,0.0
462,Arkansas,2001.0,2691571,412,15.307045587874144,274.0,10.179928376401737,129,4.792740002028555,0,0.0
463,Arkansas,2002.0,2705927,441,16.297557177263098,257.0,9.497669375411828,168,6.208593210385942,0,0.0
464,Arkansas,2003.0,2724816,413,15.156986746995026,258.0,9.468529251149436,141,5.174661334930505,0,0.0
465,Arkansas,2004.0,2749686,406,14.765322294982045,232.0,8.437327025704025,157,5.709742857911776,0,0.0
466,Arkansas,2005.0,2781097,439,15.785138022873708,262.0,9.420742965815288,168,6.040781749072399,0,0.0
467,Arkansas,2006.0,2821761,426,15.096955411886407,247.0,8.75339902989658,167,5.918290032359225,0,0.0
468,Arkansas,2007.0,2848650,426,14.954452108893687,244.0,8.565460832324083,174,6.1081564951819285,0,0.0
469,Arkansas,2008.0,2874554,444,15.445874386078675,275.0,9.566701477864044,162,5.635656870596273,0,0.0
470,Arkansas,2009.0,2896843,465,16.05195725139402,285.0,9.838296379886655,171,5.902977827931994,0,0.0
471,Arkansas,2010.0,2915918,419,14.369402706111764,266.0,9.122341574763077,146,5.006999510960185,0,0.0
472,Arkansas,2011.0,2937979,462,15.725095380191622,299.0,10.177063893240899,156,5.309772466038729,0,0.0
473,Arkansas,2012.0,2949131,490,16.615063895093165,307.0,10.40984615468082,176,5.9678596847681575,0,0.0
474,Arkansas,2013.0,2959373,501,16.929261705097666,322.0,10.880683171739419,167,5.643087235032556,0,0.0
475,Arkansas,2014.0,2966369,496,16.720778837696862,323.0,10.888732993096948,168,5.663489606316679,0,0.0
476,Arkansas,2015.0,2978204,520,17.460187414965528,342.0,11.483430953688867,172,5.775292760334752,0,0.0
477,Arkansas,2016.0,2988248,541,18.10425372994477,331.0,11.07672455565937,193,6.458633955414678,0,0.0
478,Arkansas,2017.0,3004279,613,20.404230099800984,392.0,13.048055789758541,211,7.023315743977174,0,0.0
479,Arkansas,2018.0,3013825,573,19.012384594327806,345.0,11.447247268836113,207,6.868348361301668,14,0.4645259761266829
480,District of Columbia,1999.0,570213,163,28.585809162541015,13.0,2.2798498105094063,146,25.6044671026441,0,0.0
481,District of Columbia,2000.0,572059,149,26.046264458735898,0.0,0.0,141,24.647807306589005,0,0.0
482,District of Columbia,2001.0,574504,169,29.41667943130074,21.0,3.655327029924944,145,25.23916282567223,0,0.0
483,District of Columbia,2002.0,573158,195,34.02203231918598,13.0,2.2681354879457323,180,31.40495291001783,0,0.0
484,District of Columbia,2003.0,568502,167,29.37544634847371,10.0,1.7590087633816591,157,27.616437585092047,0,0.0
485,District of Columbia,2004.0,567754,143,25.18696477699849,0.0,0.0,138,24.306301672907633,0,0.0
486,District of Columbia,2005.0,567136,154,27.153980703041245,10.0,1.7632455001974836,143,25.214410652824014,0,0.0
487,District of Columbia,2006.0,570681,134,23.48071865017409,10.0,1.752292436580156,123,21.553196969935918,0,0.0
488,District of Columbia,2007.0,574404,144,25.069463304573087,10.0,1.7409349517064645,130,22.632154372184036,0,0.0
489,District of Columbia,2008.0,580236,137,23.6110823871666,12.0,2.068124004715323,122,21.02592738127245,0,0.0
490,District of Columbia,2009.0,592228,111,18.742781496315608,0.0,0.0,104,17.560804284836244,0,0.0
491,District of Columbia,2010.0,601723,99,16.45275317712635,13.0,2.160462538410531,85,14.126101212684242,0,0.0
492,District of Columbia,2011.0,617996,86,13.915947676036739,0.0,0.0,77,12.459627570404987,0,0.0
493,District of Columbia,2012.0,632323,68,10.753997561372906,10.0,1.5814702296136627,55,8.698086262875144,0,0.0
494,District of Columbia,2013.0,646449,71,10.98307832481758,0.0,0.0,61,9.436165884702428,0,0.0
495,District of Columbia,2014.0,658893,86,13.052195121210879,14.0,2.1247759499645618,67,10.168570617687546,0,0.0
496,District of Columbia,2015.0,672228,120,17.85108623859762,11.0,1.6363495718714485,105,15.619700458772916,0,0.0
497,District of Columbia,2016.0,681170,107,15.708266658837001,0.0,0.0,98,14.387010584729216,0,0.0
498,District of Columbia,2017.0,693972,100,14.409803277365658,0.0,0.0,90,12.968822949629091,0,0.0
499,District of Columbia,2018.0,702455,125,17.794734182260786,0.0,0.0,116,16.51351332113801,0,0.0
500,Oregon,1999.0,3393941,389,11.461601719063472,309.0,9.104459977353761,73,2.1508918393101117,0,0.0
501,Oregon,2000.0,3421399,378,11.048112190364234,302.0,8.82679862828042,68,1.9874910818644653,0,0.0
502,Oregon,2001.0,3467937,358,10.323140241590318,280.0,8.073964434763377,65,1.8743131723557838,12,0.34602704720414473
503,Oregon,2002.0,3513424,374,10.644886583572037,291.0,8.282518705399633,73,2.077745242248018,0,0.0
504,Oregon,2003.0,3547376,395,11.134991046903401,331.0,9.330840598797534,56,1.578631642092634,0,0.0
505,Oregon,2004.0,3569463,385,10.785936147818314,299.0,8.376610151162794,75,2.101156392432139,0,0.0
506,Oregon,2005.0,3613202,402,11.125865644932112,319.0,8.828734180928716,61,1.6882532446290022,16,0.4428205231813776
507,Oregon,2006.0,3670883,384,10.460698420516263,307.0,8.363110455985659,64,1.7434497367527104,12,0.3268968256411332
508,Oregon,2007.0,3722417,387,10.396470895120025,327.0,8.784614942388238,49,1.3163490280642927,0,0.0
509,Oregon,2008.0,3768748,385,10.215594144262232,319.0,8.464349433817278,55,1.4593705920374618,0,0.0
510,Oregon,2009.0,3808600,417,10.94890510948905,345.0,9.05844667331828,60,1.5753820301423096,0,0.0
511,Oregon,2010.0,3831074,458,11.954872184666755,376.0,9.814480221473143,64,1.6705498249315989,13,0.339330433189231
512,Oregon,2011.0,3871859,420,10.84750245295606,343.0,8.858793669914116,66,1.7046075283216666,0,0.0
513,Oregon,2012.0,3899353,443,11.360859096368038,367.0,9.411817806697675,57,1.4617809672527724,12,0.30774336152689946
514,Oregon,2013.0,3930065,462,11.755530760941612,389.0,9.898055121225731,61,1.5521371783927238,0,0.0
515,Oregon,2014.0,3970239,497,12.518138076826105,422.0,10.629083035051542,59,1.4860566328626563,16,0.4029984089119068
516,Oregon,2015.0,4028977,486,12.06261539840014,373.0,9.257933217290642,101,2.5068398255934445,11,0.27302215922304846
517,Oregon,2016.0,4093465,513,12.532170178565103,414.0,10.11368119673675,85,2.0764804389435354,11,0.26872099798092813
518,Oregon,2017.0,4142776,528,12.745077213926121,439.0,10.596759274457513,77,1.8586570936975593,11,0.2655224419567942
519,Oregon,2018.0,4190713,519,12.384527406195557,427.0,10.189196921860313,72,1.71808472687106,15,0.35793431809813747
520,South Carolina,1999.0,3974682,552,13.887903485108998,287.0,7.220703442438917,253,6.365289097341623,0,0.0
521,South Carolina,2000.0,4012012,499,12.437649737837274,297.0,7.4027694832418245,187,4.661003007967075,0,0.0
522,South Carolina,2001.0,4064995,564,13.87455581126176,311.0,7.65068591720285,245,6.027067683970091,0,0.0
523,South Carolina,2002.0,4107795,566,13.77868175018471,304.0,7.400564049569173,258,6.280741857858048,0,0.0
524,South Carolina,2003.0,4150297,593,14.288134078115373,328.0,7.903048866141387,260,6.264611906087684,0,0.0
525,South Carolina,2004.0,4210921,574,13.631222243304968,328.0,7.7892698533171245,237,5.628222424500484,0,0.0
526,South Carolina,2005.0,4270150,589,13.79342646042879,314.0,7.353371661417047,269,6.299544512487851,0,0.0
527,South Carolina,2006.0,4357847,616,14.135420541382018,315.0,7.22834004957035,291,6.677609379126895,0,0.0
