year,state,totals,pop_est
2004,Kentucky,234974,
2004,Louisiana,172421,
2004,Maine,52665,
2004,Mariana Islands,0,
2004,Maryland,77481,
2004,Massachusetts,112996,
2004,Michigan,342418,
2004,Minnesota,227846,
2004,Mississippi,152294,
2004,Missouri,209316,
2004,Montana,83545,
2004,Nebraska,48436,
2004,Nevada,54754,
2004,New Hampshire,56791,
2004,New Jersey,37376,
2004,New Mexico,81546,
2004,New York,160222,
2004,North Carolina,276480,
2004,North Dakota,34690,
2004,Ohio,327040,
2004,Oklahoma,173188,
2004,Oregon,149688,
2004,Pennsylvania,504813,
2004,Puerto Rico,7712,
2004,Rhode Island,10054,
2004,South Carolina,124153,
2004,South Dakota,50323,
2004,Tennessee,229401,
2004,Texas,672995,
2004,Utah,79967,
2004,Vermont,19490,
2004,Virgin Islands,0,
2004,Virginia,213062,
2004,Washington,203432,
2004,West Virginia,132846,
2004,Wisconsin,187097,
2004,Wyoming,35427,
2005,Alabama,235873,
2005,Alaska,44514,
2005,Arizona,176649,
2005,Arkansas,164001,
2005,California,611022,
2005,Colorado,206287,
2005,Connecticut,97599,
2005,Delaware,17121,
2005,District of Columbia,20,
2005,Florida,370645,
2005,Georgia,257815,
2005,Guam,408,
2005,Hawaii,7575,
2005,Idaho,80343,
2005,Illinois,527134,
2005,Indiana,172249,
2005,Iowa,100344,
2005,Kansas,98311,
2005,Kentucky,232589,
2005,Louisiana,207954,
2005,Maine,50319,
2005,Mariana Islands,0,
2005,Maryland,80947,
2005,Massachusetts,105347,
2005,Michigan,337035,
2005,Minnesota,224165,
2005,Mississippi,167713,
2005,Missouri,214241,
2005,Montana,84060,
2005,Nebraska,48172,
2005,Nevada,62727,
2005,New Hampshire,55761,
2005,New Jersey,36582,
2005,New Mexico,82051,
2005,New York,158781,
2005,North Carolina,271527,
2005,North Dakota,36000,
2005,Ohio,313159,
2005,Oklahoma,182031,
2005,Oregon,158045,
2005,Pennsylvania,482977,
2005,Puerto Rico,8988,
2005,Rhode Island,9649,
2005,South Carolina,141811,
2005,South Dakota,50768,
2005,Tennessee,253450,
2005,Texas,738793,
2005,Utah,88981,
2005,Vermont,18607,
2005,Virgin Islands,40,
2005,Virginia,221725,
2005,Washington,219559,
2005,West Virginia,133667,
2005,Wisconsin,183013,
2005,Wyoming,37911,
2006,Alabama,243176,
2006,Alaska,47037,
2006,Arizona,204178,
2006,Arkansas,170129,
2006,California,617820,
2006,Colorado,214749,
2006,Connecticut,97616,
2006,Delaware,16698,
2006,District of Columbia,252,
2006,Florida,411728,
2006,Georgia,311901,
2006,Guam,348,
2006,Hawaii,7588,
2006,Idaho,91018,
2006,Illinois,527698,
2006,Indiana,185655,
2006,Iowa,101430,
2006,Kansas,109143,
2006,Kentucky,791599,
2006,Louisiana,212176,
2006,Maine,53106,
2006,Mariana Islands,26,
2006,Maryland,82207,
2006,Massachusetts,137148,
2006,Michigan,332428,
2006,Minnesota,244712,
2006,Mississippi,179087,
2006,Missouri,230374,
2006,Montana,87770,
2006,Nebraska,51221,
2006,Nevada,72963,
2006,New Hampshire,63159,
2006,New Jersey,37318,
2006,New Mexico,90321,
2006,New York,199015,
2006,North Carolina,290024,
2006,North Dakota,39436,
2006,Ohio,325132,
2006,Oklahoma,190741,
2006,Oregon,163705,
2006,Pennsylvania,520454,
2006,Puerto Rico,8473,
2006,Rhode Island,9936,
2006,South Carolina,148604,
2006,South Dakota,52675,
2006,Tennessee,258500,
2006,Texas,770236,
2006,Utah,106653,
2006,Vermont,20713,
2006,Virgin Islands,1203,
2006,Virginia,238862,
2006,Washington,255387,
2006,West Virginia,137925,
2006,Wisconsin,189228,
2006,Wyoming,42376,
2007,Alabama,245355,
2007,Alaska,49604,
2007,Arizona,192071,
2007,Arkansas,169824,
2007,California,855943,
2007,Colorado,221737,
2007,Connecticut,116112,
2007,Delaware,15912,
2007,District of Columbia,136,
2007,Florida,426180,
2007,Georgia,270468,
2007,Guam,441,
2007,Hawaii,6521,
2007,Idaho,93897,
2007,Illinois,536975,
2007,Indiana,186864,
2007,Iowa,98888,
2007,Kansas,111502,
2007,Kentucky,1587850,
2007,Louisiana,208201,
2007,Maine,51279,
2007,Mariana Islands,11,
2007,Maryland,80249,
2007,Massachusetts,165446,
2007,Michigan,311851,
2007,Minnesota,248086,
2007,Mississippi,175298,
2007,Missouri,274085,
2007,Montana,90355,
2007,Nebraska,52042,
2007,Nevada,70276,
2007,New Hampshire,65110,
2007,New Jersey,36412,
2007,New Mexico,93304,
2007,New York,212174,
2007,North Carolina,289215,
2007,North Dakota,42311,
2007,Ohio,326114,
2007,Oklahoma,189081,
2007,Oregon,162629,
2007,Pennsylvania,562603,
2007,Puerto Rico,8225,
2007,Rhode Island,10222,
2007,South Carolina,150133,
2007,South Dakota,54013,
2007,Tennessee,241741,
2007,Texas,783596,
2007,Utah,127051,
